NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.16480E-02, -4.31526E-02, -4.47660E-02, -4.65002E-02, -4.83686E-02, -5.03870E-02, -5.25735E-02, -5.49491E-02, -5.75389E-02, -6.03724E-02, -6.34855E-02, -6.69221E-02, -7.07381E-02, -7.50062E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.74090E-02, -6.37117E-02, -6.04304E-02, -5.74888E-02, -5.48305E-02, -5.24125E-02, -5.02011E-02, -4.81693E-02, -4.62952E-02, -4.45604E-02, -4.29497E-02, -4.14500E-02, -4.00501E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.18453E-02, -4.33702E-02, -4.50067E-02, -4.67669E-02, -4.86648E-02, -5.07164E-02, -5.29401E-02, -5.53575E-02, -5.79936E-02, -6.08775E-02, -6.40439E-02, -6.75344E-02, -7.13993E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.74178E-02, -6.37879E-02, -6.05485E-02, -5.76312E-02, -5.49852E-02, -5.25715E-02, -5.03592E-02, -4.83233E-02, -4.64430E-02, -4.47010E-02, -4.30825E-02, -4.15749E-02, -4.01673E-02, -3.88501E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.19980E-02, -4.35391E-02, -4.51939E-02, -4.69749E-02, -4.88963E-02, -5.09745E-02, -5.32283E-02, -5.56793E-02, -5.83525E-02, -6.12764E-02, -6.44844E-02, -6.80145E-02, -7.19106E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.36785E-02, -6.05175E-02, -5.76500E-02, -5.50351E-02, -5.26400E-02, -5.04382E-02, -4.84073E-02, -4.65285E-02, -4.47857E-02, -4.31650E-02, -4.16543E-02, -4.02431E-02, -3.89220E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.21049E-02, -4.36578E-02, -4.53261E-02, -4.71225E-02, -4.90614E-02, -5.11597E-02, -5.34363E-02, -5.59131E-02, -5.86151E-02, -6.15707E-02, -6.48119E-02, -6.83741E-02, -7.22954E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.34164E-02, -6.03591E-02, -5.75598E-02, -5.49899E-02, -5.26246E-02, -5.04424E-02, -4.84243E-02, -4.65536E-02, -4.48158E-02, -4.31979E-02, -4.16886E-02, -4.02777E-02, -3.89562E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.21651E-02, -4.37253E-02, -4.54021E-02, -4.72082E-02, -4.91587E-02, -5.12703E-02, -5.35626E-02, -5.60577E-02, -5.87810E-02, -6.17611E-02, -6.50301E-02, -6.86226E-02, -7.25744E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.30438E-02, -6.01006E-02, -5.73784E-02, -5.48615E-02, -5.25332E-02, -5.03772E-02, -4.83779E-02, -4.65208E-02, -4.47930E-02, -4.31825E-02, -4.16785E-02, -4.02717E-02, -3.89533E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.21779E-02, -4.37408E-02, -4.54209E-02, -4.72312E-02, -4.91868E-02, -5.13050E-02, -5.36056E-02, -5.61114E-02, -5.88485E-02, -6.18466E-02, -6.51391E-02, -6.87629E-02, -7.27565E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.26043E-02, -5.97699E-02, -5.71239E-02, -5.46618E-02, -5.23739E-02, -5.02482E-02, -4.82720E-02, -4.64330E-02, -4.47193E-02, -4.31201E-02, -4.16253E-02, -4.02259E-02, -3.89136E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.21429E-02, -4.37039E-02, -4.53820E-02, -4.71906E-02, -4.91450E-02, -5.12626E-02, -5.35638E-02, -5.60722E-02, -5.88148E-02, -6.18234E-02, -6.51341E-02, -6.87884E-02, -7.28328E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.21348E-02, -5.93902E-02, -5.68116E-02, -5.44013E-02, -5.21540E-02, -5.00606E-02, -4.81105E-02, -4.62929E-02, -4.45969E-02, -4.30125E-02, -4.15301E-02, -4.01413E-02, -3.88381E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.20602E-02, -4.36144E-02, -4.52852E-02, -4.70862E-02, -4.90325E-02, -5.11421E-02, -5.34357E-02, -5.59376E-02, -5.86763E-02, -6.16855E-02, -6.50052E-02, -6.86833E-02, -7.27773E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.16572E-02, -5.89767E-02, -5.64523E-02, -5.40877E-02, -5.18791E-02, -4.98186E-02, -4.78966E-02, -4.61030E-02, -4.44277E-02, -4.28611E-02, -4.13943E-02, -4.00190E-02, -3.87275E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.19300E-02, -4.34726E-02, -4.51308E-02, -4.69178E-02, -4.88492E-02, -5.09429E-02, -5.32199E-02, -5.57052E-02, -5.84285E-02, -6.14255E-02, -6.47401E-02, -6.84262E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.11754E-02, -5.85337E-02, -5.60500E-02, -5.37248E-02, -5.15527E-02, -4.95253E-02, -4.76329E-02, -4.58656E-02, -4.42136E-02, -4.26677E-02, -4.12191E-02, -3.98600E-02, -3.85830E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.17531E-02, -4.32792E-02, -4.49192E-02, -4.66862E-02, -4.85955E-02, -5.06650E-02, -5.29159E-02, -5.53734E-02, -5.80680E-02, -6.10369E-02, -6.43265E-02, -6.79957E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.80561E-02, -5.56035E-02, -5.33131E-02, -5.11760E-02, -4.91822E-02, -4.73210E-02, -4.55823E-02, -4.39562E-02, -4.24336E-02, -4.10060E-02, -3.96657E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
