NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.94360E-03, -1.04573E-02, -1.09977E-02, -1.15653E-02, -1.21603E-02, -1.27827E-02, -1.34322E-02, -1.41080E-02, -1.48091E-02, -1.55337E-02, -1.62794E-02, -1.70433E-02, -1.78217E-02, -1.86098E-02, -1.94023E-02, -2.01928E-02, -2.09738E-02, -2.17371E-02, -2.24734E-02, -2.31730E-02, -2.38253E-02, -2.44195E-02, -2.49446E-02, -2.53900E-02, -2.57455E-02, -2.60022E-02, -2.61523E-02, -2.61901E-02, -2.61118E-02, -2.59158E-02, -2.56033E-02, -2.51777E-02, -2.46448E-02, -2.40125E-02, -2.32907E-02, -2.24906E-02, -2.16242E-02, -2.07042E-02, -1.97432E-02, -1.87538E-02, -1.77477E-02, -1.67357E-02, -1.57276E-02, -1.47321E-02, -1.37566E-02, -1.28074E-02, -1.18897E-02, -1.10074E-02, -1.01638E-02, -9.36106E-03, -8.60065E-03, -7.88342E-03, -7.20962E-03, -6.57902E-03, -5.99096E-03, -5.44447E-03, -4.93825E-03, -4.47081E-03, -4.04046E-03, -3.64539E-03, -3.28368E-03, -2.95337E-03, -2.65246E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.99204E-03, -1.05233E-02, -1.10838E-02, -1.16740E-02, -1.22946E-02, -1.29458E-02, -1.36275E-02, -1.43392E-02, -1.50800E-02, -1.58483E-02, -1.66418E-02, -1.74578E-02, -1.82924E-02, -1.91407E-02, -1.99972E-02, -2.08548E-02, -2.17055E-02, -2.25404E-02, -2.33491E-02, -2.41204E-02, -2.48424E-02, -2.55025E-02, -2.60880E-02, -2.65865E-02, -2.69859E-02, -2.72756E-02, -2.74463E-02, -2.74912E-02, -2.74056E-02, -2.71878E-02, -2.68391E-02, -2.63638E-02, -2.57688E-02, -2.50639E-02, -2.42607E-02, -2.33725E-02, -2.24137E-02, -2.13989E-02, -2.03430E-02, -1.92600E-02, -1.81632E-02, -1.70646E-02, -1.59751E-02, -1.49038E-02, -1.38586E-02, -1.28461E-02, -1.18712E-02, -1.09381E-02, -1.00496E-02, -9.20775E-03, -8.41368E-03, -7.66789E-03, -6.97030E-03, -6.32031E-03, -5.71691E-03, -5.15876E-03, -4.64423E-03, -4.17147E-03, -3.73848E-03, -3.34312E-03, -2.98318E-03, -2.65640E-03, -2.36052E-03, -2.09330E-03, -1.85253E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.49859E-03, -1.00157E-02, -1.05633E-02, -1.11424E-02, -1.17542E-02, -1.23993E-02, -1.30783E-02, -1.37913E-02, -1.45382E-02, -1.53183E-02, -1.61302E-02, -1.69719E-02, -1.78407E-02, -1.87327E-02, -1.96431E-02, -2.05659E-02, -2.14938E-02, -2.24181E-02, -2.33289E-02, -2.42148E-02, -2.50632E-02, -2.58605E-02, -2.65923E-02, -2.72438E-02, -2.78003E-02, -2.82477E-02, -2.85733E-02, -2.87662E-02, -2.88178E-02, -2.87229E-02, -2.84795E-02, -2.80890E-02, -2.75568E-02, -2.68915E-02, -2.61047E-02, -2.52104E-02, -2.42244E-02, -2.31638E-02, -2.20456E-02, -2.08869E-02, -1.97036E-02, -1.85107E-02, -1.73215E-02, -1.61474E-02, -1.49984E-02, -1.38826E-02, -1.28066E-02, -1.17753E-02, -1.07925E-02, -9.86083E-03, -8.98193E-03, -8.15657E-03, -7.38484E-03, -6.66623E-03, -5.99974E-03, -5.38398E-03, -4.81721E-03, -4.29742E-03, -3.82242E-03, -3.38984E-03, -2.99720E-03, -2.64197E-03, -2.32159E-03, -2.03352E-03, -1.77524E-03, -1.54432E-03, -1.33841E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.48223E-03, -1.00117E-02, -1.05739E-02, -1.11701E-02, -1.18017E-02, -1.24696E-02, -1.31747E-02, -1.39176E-02, -1.46984E-02, -1.55166E-02, -1.63713E-02, -1.72607E-02, -1.81821E-02, -1.91319E-02, -2.01052E-02, -2.10958E-02, -2.20961E-02, -2.30967E-02, -2.40870E-02, -2.50542E-02, -2.59844E-02, -2.68620E-02, -2.76706E-02, -2.83931E-02, -2.90121E-02, -2.95112E-02, -2.98752E-02, -3.00910E-02, -3.01486E-02, -3.00416E-02, -2.97677E-02, -2.93289E-02, -2.87317E-02, -2.79867E-02, -2.71079E-02, -2.61122E-02, -2.50185E-02, -2.38467E-02, -2.26168E-02, -2.13482E-02, -2.00590E-02, -1.87659E-02, -1.74831E-02, -1.62231E-02, -1.49961E-02, -1.38104E-02, -1.26723E-02, -1.15867E-02, -1.05570E-02, -9.58522E-03, -8.67262E-03, -7.81948E-03, -7.02543E-03, -6.28950E-03, -5.61026E-03, -4.98587E-03, -4.41421E-03, -3.89286E-03, -3.41925E-03, -2.99065E-03, -2.60422E-03, -2.25709E-03, -1.94639E-03, -1.66927E-03, -1.42294E-03, -1.20472E-03, -1.01202E-03, -8.42418E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.93064E-03, -9.43748E-03, -9.97736E-03, -1.05520E-02, -1.11631E-02, -1.18122E-02, -1.25007E-02, -1.32297E-02, -1.40002E-02, -1.48127E-02, -1.56670E-02, -1.65625E-02, -1.74978E-02, -1.84705E-02, -1.94772E-02, -2.05129E-02, -2.15714E-02, -2.26448E-02, -2.37232E-02, -2.47950E-02, -2.58463E-02, -2.68616E-02, -2.78234E-02, -2.87128E-02, -2.95101E-02, -3.01951E-02, -3.07486E-02, -3.11523E-02, -3.13910E-02, -3.14526E-02, -3.13295E-02, -3.10192E-02, -3.05244E-02, -2.98531E-02, -2.90182E-02, -2.80368E-02, -2.69292E-02, -2.57179E-02, -2.44262E-02, -2.30772E-02, -2.16931E-02, -2.02942E-02, -1.88986E-02, -1.75217E-02, -1.61766E-02, -1.48736E-02, -1.36209E-02, -1.24246E-02, -1.12889E-02, -1.02166E-02, -9.20950E-03, -8.26800E-03, -7.39192E-03, -6.58035E-03, -5.83184E-03, -5.14449E-03, -4.51606E-03, -3.94398E-03, -3.42545E-03, -2.95749E-03, -2.53700E-03, -2.16079E-03, -1.82563E-03, -1.52831E-03, -1.26567E-03, -1.03465E-03, -8.32293E-04, -6.55792E-04, -5.02500E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.84882E-03, -9.36191E-03, -9.90977E-03, -1.04944E-02, -1.11176E-02, -1.17814E-02, -1.24875E-02, -1.32375E-02, -1.40324E-02, -1.48734E-02, -1.57606E-02, -1.66939E-02, -1.76721E-02, -1.86933E-02, -1.97542E-02, -2.08502E-02, -2.19748E-02, -2.31201E-02, -2.42756E-02, -2.54289E-02, -2.65650E-02, -2.76666E-02, -2.87142E-02, -2.96864E-02, -3.05605E-02, -3.13132E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.76126E-02, -2.62747E-02, -2.48558E-02, -2.33825E-02, -2.18797E-02, -2.03699E-02, -1.88727E-02, -1.74044E-02, -1.59781E-02, -1.46043E-02, -1.32905E-02, -1.20423E-02, -1.08631E-02, -9.75520E-03, -8.71936E-03, -7.75552E-03, -6.86284E-03, -6.03987E-03, -5.28467E-03, -4.59491E-03, -3.96789E-03, -3.40067E-03, -2.89004E-03, -2.43265E-03, -2.02502E-03, -1.66357E-03, -1.34473E-03, -1.06494E-03, -8.20738E-04, -6.08745E-04, -4.25747E-04, -2.68699E-04, -1.34750E-04, -2.12534E-05,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.73651E-03, -9.25324E-03, -9.80623E-03, -1.03977E-02, -1.10299E-02, -1.17050E-02, -1.24251E-02, -1.31920E-02, -1.40074E-02, -1.48725E-02, -1.57883E-02, -1.67548E-02, -1.77714E-02, -1.88364E-02, -1.99470E-02, -2.10987E-02, -2.22853E-02, -2.34986E-02, -2.47278E-02, -2.59596E-02, -2.71780E-02, -2.83640E-02, -2.94960E-02, -3.05499E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.50767E-02, -2.34770E-02, -2.18562E-02, -2.02387E-02, -1.86451E-02, -1.70923E-02, -1.55933E-02, -1.41578E-02, -1.27927E-02, -1.15024E-02, -1.02895E-02, -9.15534E-03, -8.09981E-03, -7.12215E-03, -6.22090E-03, -5.39409E-03, -4.63934E-03, -3.95389E-03, -3.33470E-03, -2.77844E-03, -2.28156E-03, -1.84033E-03, -1.45090E-03, -1.10933E-03, -8.11686E-04, -5.54063E-04, -3.32653E-04, -1.43786E-04,  1.60271E-05,  1.50071E-04,  2.61401E-04,  3.52832E-04,  4.26935E-04,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.10964E-03, -8.59191E-03, -9.10930E-03, -9.66420E-03, -1.02591E-02, -1.08964E-02, -1.15787E-02, -1.23082E-02, -1.30874E-02, -1.39181E-02, -1.48020E-02, -1.57405E-02, -1.67340E-02, -1.77825E-02, -1.88846E-02, -2.00379E-02, -2.12382E-02, -2.24796E-02, -2.37536E-02, -2.50493E-02, -2.63528E-02, -2.76469E-02, -2.89110E-02, -3.01214E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.32926E-02, -2.15600E-02, -1.98438E-02, -1.81653E-02, -1.65409E-02, -1.49831E-02, -1.35004E-02, -1.20984E-02, -1.07801E-02, -9.54693E-03, -8.39901E-03, -7.33543E-03, -6.35467E-03, -5.45471E-03, -4.63315E-03, -3.88725E-03, -3.21397E-03, -2.60995E-03, -2.07161E-03, -1.59507E-03, -1.17628E-03, -8.11036E-04, -4.95046E-04, -2.24002E-04,  6.35519E-06,  2.00173E-04,  3.61430E-04,  4.93896E-04,  6.01095E-04,  6.86282E-04,  7.52434E-04,  8.02246E-04,  8.38133E-04,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.93463E-03, -8.41348E-03, -8.92820E-03, -9.48136E-03, -1.00756E-02, -1.07138E-02, -1.13984E-02, -1.21323E-02, -1.29179E-02, -1.37577E-02, -1.46537E-02, -1.56075E-02, -1.66202E-02, -1.76920E-02, -1.88220E-02, -2.00082E-02, -2.12468E-02, -2.25319E-02, -2.38553E-02, -2.52058E-02, -2.65689E-02, -2.79265E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.91191E-02, -1.73748E-02, -1.56997E-02, -1.41043E-02, -1.25954E-02, -1.11766E-02, -9.84939E-03, -8.61356E-03, -7.46798E-03, -6.41088E-03, -5.44009E-03, -4.55320E-03, -3.74753E-03, -3.02018E-03, -2.36797E-03, -1.78743E-03, -1.27477E-03, -8.25916E-04, -4.36533E-04, -1.02097E-04,  1.82035E-04,  4.20538E-04,  6.18037E-04,  7.79026E-04,  9.07806E-04,  1.00843E-03,  1.08465E-03,  1.13993E-03,  1.17740E-03,  1.19985E-03,  1.20977E-03,  1.20936E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.72779E-03, -8.19994E-03, -8.70835E-03, -9.25577E-03, -9.84501E-03, -1.04790E-02, -1.11606E-02, -1.18928E-02, -1.26783E-02, -1.35199E-02, -1.44198E-02, -1.53801E-02, -1.64020E-02, -1.74863E-02, -1.86324E-02, -1.98386E-02, -2.11013E-02, -2.24150E-02, -2.37715E-02, -2.51594E-02, -2.65637E-02, -2.79656E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.79883E-02, -1.62081E-02, -1.45125E-02, -1.29097E-02, -1.14035E-02, -9.99519E-03, -8.68391E-03, -7.46782E-03, -6.34454E-03, -5.31153E-03, -4.36623E-03, -3.50608E-03, -2.72844E-03, -2.03054E-03, -1.40933E-03, -8.61411E-04, -3.82984E-04,  3.01359E-05,  3.82486E-04,  6.78875E-04,  9.24287E-04,  1.12377E-03,  1.28233E-03,  1.40481E-03,  1.49586E-03,  1.55981E-03,  1.60067E-03,  1.62206E-03,  1.62725E-03,  1.61914E-03,  1.60025E-03,  1.57279E-03,NA,NA,NA,NA,NA,
