NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.01607E-03,  8.37257E-03,  8.74858E-03,  9.14514E-03,  9.56318E-03,  1.00034E-02,  1.04664E-02,  1.09522E-02,  1.14602E-02,  1.19894E-02,  1.25377E-02,  1.31016E-02,  1.36766E-02,  1.42563E-02,  1.48323E-02,  1.53945E-02,  1.59308E-02,  1.64274E-02,  1.68695E-02,  1.72421E-02,  1.75311E-02,  1.77247E-02,  1.78148E-02,  1.77976E-02,  1.76747E-02,  1.74525E-02,  1.71422E-02,  1.67580E-02,  1.63161E-02,  1.58335E-02,  1.53265E-02,  1.48099E-02,  1.42965E-02,  1.37969E-02,  1.33191E-02,  1.28688E-02,  1.24500E-02,  1.20645E-02,  1.17130E-02,  1.13948E-02,  1.11084E-02,  1.08513E-02,  1.06210E-02,  1.04144E-02,  1.02283E-02,  1.00595E-02,  9.90502E-03,  9.76184E-03,  9.62730E-03,  9.49900E-03,  9.37483E-03,  9.25300E-03,  9.13203E-03,  9.01075E-03,  8.88826E-03,  8.76393E-03,  8.63734E-03,  8.50828E-03,  8.37669E-03,  8.24265E-03,  8.10635E-03,  7.96804E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.90555E-03,  8.26487E-03,  8.64521E-03,  9.04806E-03,  9.47491E-03,  9.92718E-03,  1.04062E-02,  1.09130E-02,  1.14484E-02,  1.20124E-02,  1.26046E-02,  1.32233E-02,  1.38654E-02,  1.45264E-02,  1.51993E-02,  1.58750E-02,  1.65413E-02,  1.71834E-02,  1.77838E-02,  1.83230E-02,  1.87808E-02,  1.91375E-02,  1.93765E-02,  1.94857E-02,  1.94597E-02,  1.93001E-02,  1.90161E-02,  1.86229E-02,  1.81403E-02,  1.75904E-02,  1.69957E-02,  1.63775E-02,  1.57544E-02,  1.51421E-02,  1.45529E-02,  1.39959E-02,  1.34771E-02,  1.30001E-02,  1.25664E-02,  1.21757E-02,  1.18263E-02,  1.15157E-02,  1.12406E-02,  1.09971E-02,  1.07813E-02,  1.05891E-02,  1.04165E-02,  1.02597E-02,  1.01152E-02,  9.97960E-03,  9.85024E-03,  9.72461E-03,  9.60070E-03,  9.47686E-03,  9.35181E-03,  9.22462E-03,  9.09467E-03,  8.96160E-03,  8.82526E-03,  8.68570E-03,  8.54311E-03,  8.39777E-03,  8.25006E-03,  8.10040E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.77616E-03,  8.13534E-03,  8.51649E-03,  8.92146E-03,  9.35221E-03,  9.81077E-03,  1.02992E-02,  1.08195E-02,  1.13736E-02,  1.19629E-02,  1.25886E-02,  1.32511E-02,  1.39495E-02,  1.46817E-02,  1.54432E-02,  1.62272E-02,  1.70236E-02,  1.78185E-02,  1.85938E-02,  1.93274E-02,  1.99935E-02,  2.05644E-02,  2.10127E-02,  2.13141E-02,  2.14506E-02,  2.14138E-02,  2.12058E-02,  2.08393E-02,  2.03363E-02,  1.97246E-02,  1.90347E-02,  1.82970E-02,  1.75391E-02,  1.67845E-02,  1.60521E-02,  1.53562E-02,  1.47065E-02,  1.41090E-02,  1.35667E-02,  1.30799E-02,  1.26470E-02,  1.22652E-02,  1.19305E-02,  1.16381E-02,  1.13829E-02,  1.11598E-02,  1.09636E-02,  1.07894E-02,  1.06323E-02,  1.04882E-02,  1.03532E-02,  1.02241E-02,  1.00980E-02,  9.97263E-03,  9.84621E-03,  9.71738E-03,  9.58521E-03,  9.44911E-03,  9.30882E-03,  9.16431E-03,  9.01576E-03,  8.86350E-03,  8.70796E-03,  8.54966E-03,  8.38913E-03,  8.22695E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.98764E-03,  8.36653E-03,  8.76991E-03,  9.20009E-03,  9.65958E-03,  1.01510E-02,  1.06773E-02,  1.12411E-02,  1.18455E-02,  1.24931E-02,  1.31863E-02,  1.39267E-02,  1.47149E-02,  1.55499E-02,  1.64286E-02,  1.73446E-02,  1.82874E-02,  1.92415E-02,  2.01855E-02,  2.10914E-02,  2.19254E-02,  2.26493E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.88227E-02,  1.79054E-02,  1.70275E-02,  1.62047E-02,  1.54471E-02,  1.47599E-02,  1.41447E-02,  1.36002E-02,  1.31230E-02,  1.27082E-02,  1.23501E-02,  1.20421E-02,  1.17777E-02,  1.15501E-02,  1.13528E-02,  1.11796E-02,  1.10249E-02,  1.08837E-02,  1.07513E-02,  1.06239E-02,  1.04985E-02,  1.03723E-02,  1.02436E-02,  1.01109E-02,  9.97331E-03,  9.83033E-03,  9.68186E-03,  9.52803E-03,  9.36921E-03,  9.20592E-03,  9.03877E-03,  8.86845E-03,  8.69566E-03,  8.52110E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.82543E-03,  8.19954E-03,  8.59824E-03,  9.02404E-03,  9.47977E-03,  9.96853E-03,  1.04937E-02,  1.10590E-02,  1.16684E-02,  1.23258E-02,  1.30356E-02,  1.38016E-02,  1.46274E-02,  1.55157E-02,  1.64677E-02,  1.74821E-02,  1.85541E-02,  1.96741E-02,  2.08257E-02,  2.19843E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.70934E-02,  1.62111E-02,  1.54227E-02,  1.47273E-02,  1.41212E-02,  1.35982E-02,  1.31511E-02,  1.27715E-02,  1.24510E-02,  1.21808E-02,  1.19524E-02,  1.17578E-02,  1.15895E-02,  1.14406E-02,  1.13050E-02,  1.11776E-02,  1.10539E-02,  1.09304E-02,  1.08042E-02,  1.06734E-02,  1.05365E-02,  1.03928E-02,  1.02419E-02,  1.00840E-02,  9.91941E-03,  9.74872E-03,  9.57272E-03,  9.39225E-03,  9.20821E-03,  9.02149E-03,  8.83296E-03,  8.64342E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.65213E-03,  8.01959E-03,  8.41120E-03,  8.82960E-03,  9.27777E-03,  9.75906E-03,  1.02772E-02,  1.08366E-02,  1.14417E-02,  1.20978E-02,  1.28105E-02,  1.35856E-02,  1.44293E-02,  1.53477E-02,  1.63463E-02,  1.74295E-02,  1.85995E-02,  1.98548E-02,  2.11883E-02,  2.25845E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.69884E-02,  1.60873E-02,  1.53053E-02,  1.46347E-02,  1.40661E-02,  1.35887E-02,  1.31913E-02,  1.28627E-02,  1.25917E-02,  1.23677E-02,  1.21808E-02,  1.20220E-02,  1.18830E-02,  1.17567E-02,  1.16371E-02,  1.15192E-02,  1.13989E-02,  1.12734E-02,  1.11405E-02,  1.09990E-02,  1.08482E-02,  1.06881E-02,  1.05191E-02,  1.03418E-02,  1.01573E-02,  9.96653E-03,  9.77067E-03,  9.57088E-03,  9.36827E-03,  9.16389E-03,  8.95870E-03,  8.75358E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.47079E-03,  7.83032E-03,  8.21319E-03,  8.62202E-03,  9.05980E-03,  9.52998E-03,  1.00365E-02,  1.05839E-02,  1.11772E-02,  1.18223E-02,  1.25257E-02,  1.32947E-02,  1.41375E-02,  1.50627E-02,  1.60797E-02,  1.71979E-02,  1.84262E-02,  1.97723E-02,  2.12403E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.67400E-02,  1.58665E-02,  1.51308E-02,  1.45187E-02,  1.40153E-02,  1.36056E-02,  1.32753E-02,  1.30102E-02,  1.27973E-02,  1.26246E-02,  1.24811E-02,  1.23572E-02,  1.22445E-02,  1.21361E-02,  1.20263E-02,  1.19108E-02,  1.17865E-02,  1.16514E-02,  1.15043E-02,  1.13450E-02,  1.11738E-02,  1.09915E-02,  1.07992E-02,  1.05983E-02,  1.03902E-02,  1.01765E-02,  9.95851E-03,  9.73770E-03,  9.51530E-03,  9.29244E-03,  9.07013E-03,  8.84923E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.63483E-03,  8.00799E-03,  8.40591E-03,  8.83148E-03,  9.28809E-03,  9.77964E-03,  1.03107E-02,  1.08865E-02,  1.15130E-02,  1.21975E-02,  1.29478E-02,  1.37733E-02,  1.46845E-02,  1.56934E-02,  1.68132E-02,  1.80584E-02,  1.94442E-02,  2.09857E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.49466E-02,  1.44241E-02,  1.40103E-02,  1.36870E-02,  1.34368E-02,  1.32437E-02,  1.30932E-02,  1.29723E-02,  1.28697E-02,  1.27756E-02,  1.26822E-02,  1.25832E-02,  1.24739E-02,  1.23513E-02,  1.22133E-02,  1.20593E-02,  1.18895E-02,  1.17046E-02,  1.15062E-02,  1.12958E-02,  1.10754E-02,  1.08470E-02,  1.06123E-02,  1.03733E-02,  1.01316E-02,  9.88863E-03,  9.64580E-03,  9.40419E-03,  9.16476E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.43557E-03,  7.79867E-03,  8.18510E-03,  8.59757E-03,  9.03927E-03,  9.51393E-03,  1.00259E-02,  1.05803E-02,  1.11832E-02,  1.18417E-02,  1.25639E-02,  1.33597E-02,  1.42403E-02,  1.52191E-02,  1.63117E-02,  1.75358E-02,  1.89122E-02,  2.04642E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.44013E-02,  1.40966E-02,  1.38727E-02,  1.37104E-02,  1.35922E-02,  1.35029E-02,  1.34290E-02,  1.33596E-02,  1.32856E-02,  1.32002E-02,  1.30984E-02,  1.29773E-02,  1.28354E-02,  1.26723E-02,  1.24891E-02,  1.22872E-02,  1.20689E-02,  1.18366E-02,  1.15929E-02,  1.13402E-02,  1.10810E-02,  1.08175E-02,  1.05517E-02,  1.02853E-02,  1.00199E-02,  9.75661E-03,  9.49653E-03,  9.24049E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.58751E-03,  7.96251E-03,  8.36178E-03,  8.78823E-03,  9.24529E-03,  9.73700E-03,  1.02682E-02,  1.08445E-02,  1.14727E-02,  1.21609E-02,  1.29185E-02,  1.37569E-02,  1.46897E-02,  1.57331E-02,  1.69065E-02,  1.82331E-02,  1.97406E-02,  2.14619E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.43209E-02,  1.42030E-02,  1.41295E-02,  1.40824E-02,  1.40463E-02,  1.40084E-02,  1.39587E-02,  1.38898E-02,  1.37967E-02,  1.36765E-02,  1.35285E-02,  1.33532E-02,  1.31526E-02,  1.29292E-02,  1.26863E-02,  1.24271E-02,  1.21551E-02,  1.18736E-02,  1.15855E-02,  1.12935E-02,  1.09999E-02,  1.07068E-02,  1.04158E-02,  1.01282E-02,  9.84511E-03,  9.56742E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
