NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.50123E-02,  1.59897E-02,  1.70648E-02,  1.82504E-02,  1.95609E-02,  2.10122E-02,  2.26217E-02,  2.44079E-02,  2.63903E-02,  2.85880E-02,  3.10194E-02,  3.36994E-02,  3.66374E-02,  3.98332E-02,  4.32716E-02,  4.69158E-02,  5.06990E-02,  5.45162E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.47244E-02,  5.08861E-02,  4.70730E-02,  4.33948E-02,  3.99218E-02,  3.66932E-02,  3.37255E-02,  3.10195E-02,  2.85660E-02,  2.63497E-02,  2.43522E-02,  2.25538E-02,  2.09347E-02,  1.94760E-02,  1.81600E-02,  1.69705E-02,  1.58930E-02,  1.49143E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.40018E-02,  1.49043E-02,  1.58987E-02,  1.69980E-02,  1.82175E-02,  1.95746E-02,  2.10889E-02,  2.27826E-02,  2.46800E-02,  2.68079E-02,  2.91943E-02,  3.18679E-02,  3.48563E-02,  3.81830E-02,  4.18630E-02,  4.58966E-02,  5.02593E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.04513E-02,  4.60400E-02,  4.19598E-02,  3.82376E-02,  3.48746E-02,  3.18558E-02,  2.91574E-02,  2.67513E-02,  2.46079E-02,  2.26985E-02,  2.09958E-02,  1.94750E-02,  1.81134E-02,  1.68910E-02,  1.57902E-02,  1.47956E-02,  1.38938E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  1.29969E-02,  1.38190E-02,  1.47247E-02,  1.57267E-02,  1.68399E-02,  1.80820E-02,  1.94734E-02,  2.10378E-02,  2.28025E-02,  2.47985E-02,  2.70610E-02,  2.96286E-02,  3.25433E-02,  3.58489E-02,  3.95885E-02,  4.38005E-02,  4.85107E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.86707E-02,  4.38983E-02,  3.96332E-02,  3.58501E-02,  3.25100E-02,  2.95686E-02,  2.69808E-02,  2.47034E-02,  2.26966E-02,  2.09245E-02,  1.93552E-02,  1.79610E-02,  1.67176E-02,  1.56044E-02,  1.46036E-02,  1.36998E-02,  1.28803E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  1.20141E-02,  1.27544E-02,  1.35684E-02,  1.44677E-02,  1.54663E-02,  1.65809E-02,  1.78312E-02,  1.92408E-02,  2.08377E-02,  2.26544E-02,  2.47293E-02,  2.71069E-02,  2.98379E-02,  3.29800E-02,  3.65973E-02,  4.07588E-02,  4.55348E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.56208E-02,  4.07793E-02,  3.65674E-02,  3.29125E-02,  2.97431E-02,  2.69932E-02,  2.46029E-02,  2.25199E-02,  2.06985E-02,  1.90995E-02,  1.76896E-02,  1.64403E-02,  1.53279E-02,  1.43322E-02,  1.34365E-02,  1.26266E-02,  1.18908E-02,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  1.10663E-02,  1.17266E-02,  1.24500E-02,  1.32465E-02,  1.41285E-02,  1.51110E-02,  1.62119E-02,  1.74531E-02,  1.88611E-02,  2.04676E-02,  2.23110E-02,  2.44367E-02,  2.68992E-02,  2.97626E-02,  3.31024E-02,  3.70061E-02,  4.15741E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.15491E-02,  3.69253E-02,  3.29831E-02,  2.96183E-02,  2.67396E-02,  2.42689E-02,  2.21397E-02,  2.02961E-02,  1.86915E-02,  1.72868E-02,  1.60498E-02,  1.49537E-02,  1.39766E-02,  1.31002E-02,  1.23095E-02,  1.15923E-02,  1.09383E-02,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  1.07468E-02,  1.13840E-02,  1.20819E-02,  1.28509E-02,  1.37036E-02,  1.46555E-02,  1.57256E-02,  1.69374E-02,  1.83198E-02,  1.99080E-02,  2.17455E-02,  2.38848E-02,  2.63903E-02,  2.93399E-02,  3.28275E-02,  3.69665E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.68075E-02,  3.26335E-02,  2.91270E-02,  2.61697E-02,  2.36635E-02,  2.15279E-02,  1.96968E-02,  1.81162E-02,  1.67421E-02,  1.55387E-02,  1.44769E-02,  1.35332E-02,  1.26887E-02,  1.19276E-02,  1.12376E-02,  1.06083E-02,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  9.82186E-03,  1.03795E-02,  1.09862E-02,  1.16500E-02,  1.23808E-02,  1.31913E-02,  1.40968E-02,  1.51170E-02,  1.62764E-02,  1.76053E-02,  1.91420E-02,  2.09339E-02,  2.30401E-02,  2.55339E-02,  2.85061E-02,  3.20691E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.17715E-02,  2.82018E-02,  2.52341E-02,  2.27514E-02,  2.06595E-02,  1.88831E-02,  1.73618E-02,  1.60474E-02,  1.49018E-02,  1.38942E-02,  1.30004E-02,  1.22011E-02,  1.14807E-02,  1.08269E-02,  1.02298E-02,  9.68147E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  9.44097E-03,  9.96571E-03,  1.05347E-02,  1.11554E-02,  1.18371E-02,  1.25917E-02,  1.34342E-02,  1.43840E-02,  1.54654E-02,  1.67098E-02,  1.81567E-02,  1.98567E-02,  2.18736E-02,  2.42882E-02,  2.72022E-02,  3.07443E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.03080E-02,  2.67794E-02,  2.38890E-02,  2.15025E-02,  1.95145E-02,  1.78420E-02,  1.64203E-02,  1.51985E-02,  1.41372E-02,  1.32052E-02,  1.23786E-02,  1.16385E-02,  1.09700E-02,  1.03616E-02,  9.80414E-03,  9.29036E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  8.56846E-03,  9.02143E-03,  9.50759E-03,  1.00319E-02,  1.06008E-02,  1.12225E-02,  1.19076E-02,  1.26700E-02,  1.35278E-02,  1.45045E-02,  1.56305E-02,  1.69457E-02,  1.85016E-02,  2.03645E-02,  2.26202E-02,  2.53786E-02,  2.87805E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.81648E-02,  2.48072E-02,  2.20997E-02,  1.98953E-02,  1.80802E-02,  1.65673E-02,  1.52896E-02,  1.41958E-02,  1.32467E-02,  1.24127E-02,  1.16709E-02,  1.10039E-02,  1.03985E-02,  9.84437E-03,  9.33367E-03,  8.86024E-03,  8.41924E-03,NA,NA,NA,NA,
NA,NA,NA,NA,  8.15063E-03,  8.56606E-03,  9.00849E-03,  9.48169E-03,  9.99067E-03,  1.05420E-02,  1.11445E-02,  1.18100E-02,  1.25544E-02,  1.33987E-02,  1.43713E-02,  1.55101E-02,  1.68651E-02,  1.85028E-02,  2.05100E-02,  2.30009E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.22493E-02,  1.98462E-02,  1.79203E-02,  1.63546E-02,  1.50613E-02,  1.39745E-02,  1.30452E-02,  1.22371E-02,  1.15230E-02,  1.08832E-02,  1.03028E-02,  9.77093E-03,  9.27934E-03,  8.82192E-03,  8.39403E-03,  7.99213E-03,NA,NA,NA,NA,
