NA,NA, -2.97963E-03, -3.36565E-03, -3.80845E-03, -4.31726E-03, -4.90287E-03, -5.57782E-03, -6.35665E-03, -7.25599E-03, -8.29463E-03, -9.49333E-03, -1.08744E-02, -1.24604E-02, -1.42729E-02, -1.63294E-02, -1.86396E-02, -2.12003E-02, -2.39886E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.49204E-02, -2.20684E-02, -1.94314E-02, -1.70400E-02, -1.49030E-02, -1.30142E-02, -1.13580E-02, -9.91395E-03, -8.65948E-03, -7.57205E-03, -6.63035E-03, -5.81494E-03, -5.10848E-03, -4.49578E-03, -3.96369E-03, -3.50087E-03, -3.09762E-03,NA,NA,
NA,NA, -2.66177E-03, -3.02766E-03, -3.44963E-03, -3.93714E-03, -4.50131E-03, -5.15517E-03, -5.91383E-03, -6.79470E-03, -7.81748E-03, -9.00393E-03, -1.03772E-02, -1.19608E-02, -1.37761E-02, -1.58391E-02, -1.81561E-02, -2.07163E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.15810E-02, -1.89491E-02, -1.65522E-02, -1.44081E-02, -1.25150E-02, -1.08596E-02, -9.42161E-03, -8.17803E-03, -7.10542E-03, -6.18146E-03, -5.38575E-03, -4.70016E-03, -4.10885E-03, -3.59813E-03, -3.15632E-03, -2.77345E-03,NA,NA,
NA,NA, -2.31300E-03, -2.65406E-03, -3.04968E-03, -3.50943E-03, -4.04456E-03, -4.66834E-03, -5.39623E-03, -6.24608E-03, -7.23810E-03, -8.39455E-03, -9.73898E-03, -1.12947E-02, -1.30820E-02, -1.51143E-02, -1.73920E-02, -1.98946E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.07347E-02, -1.81695E-02, -1.58163E-02, -1.37047E-02, -1.18401E-02, -1.02124E-02, -8.80295E-03, -7.58903E-03, -6.54698E-03, -5.65401E-03, -4.88920E-03, -4.23394E-03, -3.67202E-03, -3.18950E-03, -2.77450E-03, -2.41694E-03, -2.10832E-03,NA,
NA, -1.66689E-03, -1.93410E-03, -2.24557E-03, -2.60924E-03, -3.03456E-03, -3.53276E-03, -4.11706E-03, -4.80298E-03, -5.60840E-03, -6.55357E-03, -7.66069E-03, -8.95291E-03, -1.04525E-02, -1.21775E-02, -1.41371E-02, -1.63242E-02, -1.87052E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.70671E-02, -1.48128E-02, -1.27786E-02, -1.09790E-02, -9.40902E-03, -8.05284E-03, -6.88909E-03, -5.89466E-03, -5.04688E-03, -4.32484E-03, -3.70986E-03, -3.18568E-03, -2.73838E-03, -2.35611E-03, -2.02888E-03, -1.74830E-03,NA,
NA, -1.29053E-03, -1.52643E-03, -1.80360E-03, -2.12970E-03, -2.51393E-03, -2.96719E-03, -3.50245E-03, -4.13485E-03, -4.88193E-03, -5.76344E-03, -6.80083E-03, -8.01608E-03, -9.42937E-03, -1.10554E-02, -1.28974E-02, -1.49387E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.56270E-02, -1.35303E-02, -1.16214E-02, -9.92598E-03, -8.44588E-03, -7.16936E-03, -6.07748E-03, -5.14853E-03, -4.36073E-03, -3.69369E-03, -3.12914E-03, -2.65117E-03, -2.24615E-03, -1.90254E-03, -1.61063E-03, -1.36228E-03,NA,
NA, -8.91107E-04, -1.09187E-03, -1.33018E-03, -1.61328E-03, -1.94988E-03, -2.35036E-03, -2.82707E-03, -3.39446E-03, -4.06923E-03, -4.87006E-03, -5.81698E-03, -6.92992E-03, -8.22601E-03, -9.71525E-03, -1.13936E-02, -1.32332E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.38467E-02, -1.19671E-02, -1.02326E-02, -8.68148E-03, -7.32420E-03, -6.15434E-03, -5.15644E-03, -4.31111E-03, -3.59815E-03, -2.99834E-03, -2.49432E-03, -2.07091E-03, -1.71510E-03, -1.41590E-03, -1.16412E-03, -9.52051E-04,NA,
NA, -4.70820E-04, -6.32882E-04, -8.28062E-04, -1.06303E-03, -1.34581E-03, -1.68601E-03, -2.09506E-03, -2.58635E-03, -3.17526E-03, -3.87883E-03, -4.71498E-03, -5.70075E-03, -6.84927E-03, -8.16477E-03, -9.63481E-03, -1.12189E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.01327E-02, -8.61998E-03, -7.25258E-03, -6.05047E-03, -5.01376E-03, -4.13151E-03, -3.38749E-03, -2.76383E-03, -2.24307E-03, -1.80927E-03, -1.44838E-03, -1.14835E-03, -8.99030E-04, -6.91901E-04, -5.19888E-04,NA,
NA, -3.22998E-05, -1.52440E-04, -3.00623E-04, -4.82783E-04, -7.06083E-04, -9.79123E-04, -1.31212E-03, -1.71703E-03, -2.20746E-03, -2.79830E-03, -3.50466E-03, -4.34000E-03, -5.31260E-03, -6.42005E-03, -7.64067E-03, -8.92087E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.04843E-03, -6.80080E-03, -5.65347E-03, -4.63671E-03, -3.75796E-03, -3.01162E-03, -2.38544E-03, -1.86454E-03, -1.43381E-03, -1.07918E-03, -7.88146E-04, -5.49932E-04, -3.55442E-04, -1.97075E-04, -6.85287E-05,NA,
NA,  4.21416E-04,  3.45975E-04,  2.48141E-04,  1.22851E-04, -3.60285E-05, -2.35870E-04, -4.85425E-04, -7.94872E-04, -1.17567E-03, -1.64004E-03, -2.19978E-03, -2.86411E-03, -3.63586E-03, -4.50544E-03, -5.44161E-03, -6.37786E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.74694E-03, -4.80113E-03, -3.90535E-03, -3.10035E-03, -2.40146E-03, -1.80901E-03, -1.31532E-03, -9.09101E-04, -5.78101E-04, -3.10537E-04, -9.57907E-05,  7.53488E-05,  2.10683E-04,  3.16723E-04,  3.98855E-04,NA,
NA,  8.86934E-04,  8.58448E-04,  8.13697E-04,  7.48602E-04,  6.58204E-04,  5.36535E-04,  3.76532E-04,  1.70060E-04, -9.18563E-05, -4.18393E-04, -8.17617E-04, -1.29408E-03, -1.84480E-03, -2.45282E-03, -3.07755E-03, -3.64055E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.27126E-03, -2.65516E-03, -2.03572E-03, -1.46380E-03, -9.62646E-04, -5.38877E-04, -1.89803E-04,  9.18531E-05,  3.15100E-04,  4.89073E-04,  6.22219E-04,  7.21953E-04,  7.94588E-04,  8.45393E-04,  8.78714E-04,NA,
