NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.16164E-02, -1.17314E-02, -1.18265E-02, -1.18990E-02, -1.19460E-02, -1.19645E-02, -1.19514E-02, -1.19035E-02, -1.18178E-02, -1.16910E-02, -1.15204E-02, -1.13033E-02, -1.10372E-02, -1.07201E-02, -1.03505E-02, -9.92714E-03, -9.44959E-03, -8.91776E-03, -8.33216E-03, -7.69380E-03, -7.00415E-03, -6.26508E-03, -5.47879E-03, -4.64776E-03, -3.77471E-03, -2.86260E-03, -1.91463E-03, -9.34385E-04,  7.40226E-05,  1.10572E-03,  2.15479E-03,  3.21386E-03,  4.27385E-03,  5.32354E-03,  6.34947E-03,  7.33587E-03,  8.26501E-03,  9.11785E-03,  9.87515E-03,  1.05189E-02,  1.10338E-02,  1.14092E-02,  1.16401E-02,  1.17278E-02,  1.16801E-02,  1.15104E-02,  1.12362E-02,  1.08777E-02,  1.04559E-02,  9.99105E-03,  9.50175E-03,  9.00393E-03,  8.51065E-03,  8.03202E-03,  7.57540E-03,  7.14570E-03,  6.74580E-03,  6.37691E-03,  6.03897E-03,  5.73101E-03,  5.45138E-03,  5.19804E-03,  4.96872E-03,  4.76106E-03,  4.57274E-03,  4.40153E-03,  4.24533E-03,  4.10224E-03,  3.97053E-03,  3.84868E-03,  3.73534E-03,  3.62935E-03,  3.52970E-03,  3.43556E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.18785E-02, -1.20504E-02, -1.22073E-02, -1.23468E-02, -1.24660E-02, -1.25617E-02, -1.26308E-02, -1.26697E-02, -1.26750E-02, -1.26429E-02, -1.25698E-02, -1.24521E-02, -1.22862E-02, -1.20689E-02, -1.17973E-02, -1.14690E-02, -1.10818E-02, -1.06345E-02, -1.01263E-02, -9.55700E-03, -8.92718E-03, -8.23795E-03, -7.49096E-03, -6.68827E-03, -5.83231E-03, -4.92572E-03, -3.97133E-03, -2.97206E-03, -1.93100E-03, -8.51456E-04,  2.62792E-04,  1.40724E-03,  2.57622E-03,  3.76243E-03,  4.95633E-03,  6.14563E-03,  7.31487E-03,  8.44522E-03,  9.51466E-03,  1.04988E-02,  1.13724E-02,  1.21109E-02,  1.26934E-02,  1.31049E-02,  1.33381E-02,  1.33947E-02,  1.32853E-02,  1.30284E-02,  1.26478E-02,  1.21705E-02,  1.16243E-02,  1.10351E-02,  1.04262E-02,  9.81661E-03,  9.22166E-03,  8.65248E-03,  8.11666E-03,  7.61876E-03,  7.16090E-03,  6.74330E-03,  6.36481E-03,  6.02333E-03,  5.71614E-03,  5.44022E-03,  5.19240E-03,  4.96955E-03,  4.76866E-03,  4.58695E-03,  4.42186E-03,  4.27111E-03,  4.13266E-03,  4.00475E-03,  3.88586E-03,  3.77468E-03,  3.67011E-03,  3.57122E-03,  3.47724E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -1.22384E-02, -1.24500E-02, -1.26496E-02, -1.28345E-02, -1.30020E-02, -1.31489E-02, -1.32717E-02, -1.33668E-02, -1.34302E-02, -1.34579E-02, -1.34456E-02, -1.33889E-02, -1.32835E-02, -1.31253E-02, -1.29103E-02, -1.26350E-02, -1.22962E-02, -1.18917E-02, -1.14195E-02, -1.08787E-02, -1.02690E-02, -9.59116E-03, -8.84633E-03, -8.03645E-03, -7.16391E-03, -6.23143E-03, -5.24193E-03, -4.19835E-03, -3.10359E-03, -1.96051E-03, -7.71971E-04,  4.58887E-04,  1.72831E-03,  3.03138E-03,  4.36131E-03,  5.70863E-03,  7.06031E-03,  8.39895E-03,  9.70225E-03,  1.09430E-02,  1.20899E-02,NA,NA,NA,NA,NA,NA,NA,NA,  1.42552E-02,  1.36259E-02,  1.29229E-02,  1.21798E-02,  1.14254E-02,  1.06826E-02,  9.96875E-03,  9.29568E-03,  8.67076E-03,  8.09765E-03,  7.57715E-03,  7.10798E-03,  6.68744E-03,  6.31195E-03,  5.97740E-03,  5.67953E-03,  5.41409E-03,  5.17704E-03,  4.96461E-03,  4.77338E-03,  4.60028E-03,  4.44262E-03,  4.29806E-03,  4.16460E-03,  4.04052E-03,  3.92441E-03,  3.81506E-03,  3.71149E-03,  3.61289E-03,  3.51862E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -1.23024E-02, -1.25598E-02, -1.28105E-02, -1.30525E-02, -1.32831E-02, -1.34997E-02, -1.36992E-02, -1.38780E-02, -1.40323E-02, -1.41580E-02, -1.42507E-02, -1.43056E-02, -1.43176E-02, -1.42818E-02, -1.41930E-02, -1.40462E-02, -1.38366E-02, -1.35599E-02, -1.32122E-02, -1.27905E-02, -1.22926E-02, -1.17172E-02, -1.10641E-02, -1.03338E-02, -9.52794E-03, -8.64884E-03, -7.69934E-03, -6.68265E-03, -5.60205E-03, -4.46074E-03, -3.26160E-03, -2.00716E-03, -6.99641E-04,  6.58823E-04,  2.06575E-03,  3.51764E-03,  5.00900E-03,  6.53121E-03,  8.07119E-03,  9.60996E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.34274E-02,  1.24968E-02,  1.15961E-02,  1.07442E-02,  9.95316E-03,  9.22929E-03,  8.57450E-03,  7.98751E-03,  7.46490E-03,  7.00186E-03,  6.59284E-03,  6.23203E-03,  5.91364E-03,  5.63216E-03,  5.38250E-03,  5.16001E-03,  4.96060E-03,  4.78065E-03,  4.61705E-03,  4.46716E-03,  4.32873E-03,  4.19990E-03,  4.07913E-03,  3.96516E-03,  3.85695E-03,  3.75370E-03,  3.65473E-03,  3.55953E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -1.25471E-02, -1.28391E-02, -1.31278E-02, -1.34111E-02, -1.36869E-02, -1.39524E-02, -1.42048E-02, -1.44406E-02, -1.46560E-02, -1.48470E-02, -1.50087E-02, -1.51361E-02, -1.52238E-02, -1.52659E-02, -1.52566E-02, -1.51895E-02, -1.50588E-02, -1.48586E-02, -1.45835E-02, -1.42288E-02, -1.37907E-02, -1.32664E-02, -1.26543E-02, -1.19540E-02, -1.11663E-02, -1.02931E-02, -9.33746E-03, -8.30279E-03, -7.19305E-03, -6.01217E-03, -4.76374E-03, -3.45073E-03, -2.07529E-03, -6.38763E-04,  8.58140E-04,  2.41487E-03,  4.03023E-03,  5.70114E-03,  7.42109E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.25460E-02,  1.15358E-02,  1.06127E-02,  9.78078E-03,  9.03908E-03,  8.38325E-03,  7.80683E-03,  7.30225E-03,  6.86152E-03,  6.47669E-03,  6.14020E-03,  5.84509E-03,  5.58505E-03,  5.35452E-03,  5.14866E-03,  4.96331E-03,  4.79495E-03,  4.64063E-03,  4.49791E-03,  4.36479E-03,  4.23965E-03,  4.12117E-03,  4.00834E-03,  3.90032E-03,  3.79648E-03,  3.69634E-03,  3.59951E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -1.27491E-02, -1.30738E-02, -1.33985E-02, -1.37215E-02, -1.40407E-02, -1.43540E-02, -1.46585E-02, -1.49511E-02, -1.52283E-02, -1.54858E-02, -1.57191E-02, -1.59230E-02, -1.60916E-02, -1.62188E-02, -1.62979E-02, -1.63216E-02, -1.62828E-02, -1.61741E-02, -1.59883E-02, -1.57189E-02, -1.53600E-02, -1.49068E-02, -1.43556E-02, -1.37045E-02, -1.29528E-02, -1.21018E-02, -1.11539E-02, -1.01129E-02, -8.98341E-03, -7.77036E-03, -6.47868E-03, -5.11269E-03, -3.67561E-03, -2.16928E-03, -5.93966E-04,  1.05152E-03,  2.76935E-03,  4.56176E-03,  6.42963E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.23254E-02,  1.12574E-02,  1.03102E-02,  9.47858E-03,  8.75377E-03,  8.12531E-03,  7.58212E-03,  7.11316E-03,  6.70799E-03,  6.35701E-03,  6.05159E-03,  5.78416E-03,  5.54816E-03,  5.33801E-03,  5.14900E-03,  4.97723E-03,  4.81950E-03,  4.67320E-03,  4.53624E-03,  4.40696E-03,  4.28406E-03,  4.16652E-03,  4.05356E-03,  3.94460E-03,  3.83920E-03,  3.73703E-03,NA,NA,NA,NA,NA,
NA,NA,NA, -1.29071E-02, -1.32620E-02, -1.36202E-02, -1.39804E-02, -1.43409E-02, -1.46997E-02, -1.50545E-02, -1.54024E-02, -1.57403E-02, -1.60642E-02, -1.63699E-02, -1.66521E-02, -1.69053E-02, -1.71228E-02, -1.72975E-02, -1.74215E-02, -1.74866E-02, -1.74840E-02, -1.74047E-02, -1.72400E-02, -1.69817E-02, -1.66223E-02, -1.61558E-02, -1.55776E-02, -1.48849E-02, -1.40772E-02, -1.31559E-02, -1.21243E-02, -1.09875E-02, -9.75141E-03, -8.42279E-03, -7.00801E-03, -5.51259E-03, -3.94037E-03, -2.29305E-03, -5.69702E-04,  1.23318E-03,  3.12137E-03,  5.10196E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.18647E-02,  1.07985E-02,  9.87741E-03,  9.08671E-03,  8.41088E-03,  7.83446E-03,  7.34286E-03,  6.92274E-03,  6.56221E-03,  6.25088E-03,  5.97982E-03,  5.74150E-03,  5.52960E-03,  5.33892E-03,  5.16525E-03,  5.00518E-03,  4.85601E-03,  4.71561E-03,  4.58236E-03,  4.45499E-03,  4.33256E-03,  4.21437E-03,  4.09991E-03,  3.98882E-03,  3.88085E-03,  3.77582E-03,NA,NA,NA,NA,
NA,NA, -1.30206E-02, -1.34028E-02, -1.37915E-02, -1.41859E-02, -1.45845E-02, -1.49858E-02, -1.53879E-02, -1.57885E-02, -1.61847E-02, -1.65732E-02, -1.69501E-02, -1.73106E-02, -1.76493E-02, -1.79599E-02, -1.82351E-02, -1.84667E-02, -1.86456E-02, -1.87620E-02, -1.88054E-02, -1.87650E-02, -1.86299E-02, -1.83897E-02, -1.80352E-02, -1.75583E-02, -1.69532E-02, -1.62164E-02, -1.53470E-02, -1.43470E-02, -1.32207E-02, -1.19751E-02, -1.06181E-02, -9.15898E-03, -7.60632E-03, -5.96758E-03, -4.24789E-03, -2.44916E-03, -5.69372E-04,  1.39766E-03,  3.46220E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.12226E-02,  1.02173E-02,  9.36825E-03,  8.65340E-03,  8.05221E-03,  7.54601E-03,  7.11826E-03,  6.75462E-03,  6.44289E-03,  6.17279E-03,  5.93583E-03,  5.72507E-03,  5.53492E-03,  5.36091E-03,  5.19956E-03,  5.04814E-03,  4.90460E-03,  4.76739E-03,  4.63537E-03,  4.50771E-03,  4.38384E-03,  4.26336E-03,  4.14602E-03,  4.03167E-03,  3.92020E-03,  3.81158E-03,NA,NA,NA,
NA, -1.30897E-02, -1.34960E-02, -1.39120E-02, -1.43370E-02, -1.47701E-02, -1.52102E-02, -1.56558E-02, -1.61052E-02, -1.65560E-02, -1.70056E-02, -1.74506E-02, -1.78870E-02, -1.83099E-02, -1.87135E-02, -1.90909E-02, -1.94340E-02, -1.97336E-02, -1.99793E-02, -2.01593E-02, -2.02611E-02, -2.02714E-02, -2.01769E-02, -1.99643E-02, -1.96217E-02, -1.91388E-02, -1.85079E-02, -1.77242E-02, -1.67865E-02, -1.56974E-02, -1.44629E-02, -1.30921E-02, -1.15963E-02, -9.98786E-03, -8.27902E-03, -6.48022E-03, -4.59880E-03, -2.63762E-03, -5.93945E-04,  1.54123E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.04780E-02,  9.58360E-03,  8.84263E-03,  8.22874E-03,  7.71879E-03,  7.29287E-03,  6.93415E-03,  6.62864E-03,  6.36483E-03,  6.13341E-03,  5.92695E-03,  5.73960E-03,  5.56680E-03,  5.40511E-03,  5.25192E-03,  5.10532E-03,  4.96395E-03,  4.82686E-03,  4.69342E-03,  4.56321E-03,  4.43601E-03,  4.31169E-03,  4.19022E-03,  4.07161E-03,  3.95588E-03,NA,NA,NA,
 -1.31153E-02, -1.35423E-02, -1.39819E-02, -1.44338E-02, -1.48973E-02, -1.53719E-02, -1.58565E-02, -1.63500E-02, -1.68506E-02, -1.73564E-02, -1.78648E-02, -1.83726E-02, -1.88757E-02, -1.93692E-02, -1.98470E-02, -2.03019E-02, -2.07249E-02, -2.11056E-02, -2.14322E-02, -2.16908E-02, -2.18664E-02, -2.19427E-02, -2.19029E-02, -2.17305E-02, -2.14097E-02, -2.09272E-02, -2.02725E-02, -1.94391E-02, -1.84254E-02, -1.72345E-02, -1.58745E-02, -1.43578E-02, -1.27001E-02, -1.09185E-02, -9.03020E-03, -7.05040E-03, -4.99004E-03, -2.85410E-03, -6.39931E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.71807E-03,  8.96916E-03,  8.35868E-03,  7.85887E-03,  7.44646E-03,  7.10225E-03,  6.81065E-03,  6.55911E-03,  6.33774E-03,  6.13884E-03,  5.95650E-03,  5.78629E-03,  5.62496E-03,  5.47016E-03,  5.32029E-03,  5.17427E-03,  5.03141E-03,  4.89135E-03,  4.75390E-03,  4.61904E-03,  4.48680E-03,  4.35731E-03,  4.23067E-03,  4.10702E-03,  3.98649E-03,NA,NA,
