NA,NA,NA,NA,NA,NA,  3.28448E-03,  3.63308E-03,  4.02000E-03,  4.44920E-03,  4.92497E-03,  5.45189E-03,  6.03483E-03,  6.67896E-03,  7.38965E-03,  8.17242E-03,  9.03285E-03,  9.97637E-03,  1.10080E-02,  1.21319E-02,  1.33510E-02,  1.46657E-02,  1.60732E-02,  1.75655E-02,  1.91278E-02,  2.07366E-02,  2.23570E-02,  2.39423E-02,  2.54337E-02,  2.67632E-02,NA,NA,NA,NA,NA,NA,  2.71188E-02,  2.58670E-02,  2.44384E-02,  2.29003E-02,  2.13119E-02,  1.97210E-02,  1.81638E-02,  1.66658E-02,  1.52438E-02,  1.39075E-02,  1.26616E-02,  1.15072E-02,  1.04430E-02,  9.46586E-03,  8.57172E-03,  7.75587E-03,  7.01330E-03,  6.33886E-03,  5.72743E-03,  5.17399E-03,  4.67372E-03,  4.22203E-03,  3.81459E-03,  3.44734E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  3.04899E-03,  3.39500E-03,  3.78127E-03,  4.21226E-03,  4.69284E-03,  5.22833E-03,  5.82445E-03,  6.48736E-03,  7.22366E-03,  8.04031E-03,  8.94464E-03,  9.94416E-03,  1.10464E-02,  1.22585E-02,  1.35866E-02,  1.50353E-02,  1.66055E-02,  1.82932E-02,  2.00864E-02,  2.19623E-02,  2.38831E-02,  2.57938E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.45276E-02,  2.26384E-02,  2.07767E-02,  1.89825E-02,  1.72813E-02,  1.56878E-02,  1.42084E-02,  1.28442E-02,  1.15930E-02,  1.04500E-02,  9.40950E-03,  8.46490E-03,  7.60945E-03,  6.83637E-03,  6.13900E-03,  5.51094E-03,  4.94609E-03,  4.43870E-03,  3.98339E-03,  3.57516E-03,  3.20938E-03,  2.88182E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  2.47952E-03,  2.78242E-03,  3.12276E-03,  3.50502E-03,  3.93417E-03,  4.41570E-03,  4.95562E-03,  5.56053E-03,  6.23764E-03,  6.99482E-03,  7.84056E-03,  8.78409E-03,  9.83523E-03,  1.10044E-02,  1.23023E-02,  1.37394E-02,  1.53253E-02,  1.70671E-02,  1.89668E-02,  2.10185E-02,  2.32029E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.18263E-02,  1.97643E-02,  1.78400E-02,  1.60629E-02,  1.44341E-02,  1.29494E-02,  1.16015E-02,  1.03819E-02,  9.28103E-03,  8.28972E-03,  7.39878E-03,  6.59946E-03,  5.88346E-03,  5.24301E-03,  4.67085E-03,  4.16026E-03,  3.70503E-03,  3.29948E-03,  2.93841E-03,  2.61710E-03,  2.33127E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  1.93214E-03,  2.19100E-03,  2.48386E-03,  2.81512E-03,  3.18965E-03,  3.61290E-03,  4.09095E-03,  4.63051E-03,  5.23904E-03,  5.92480E-03,  6.69690E-03,  7.56544E-03,  8.54157E-03,  9.63760E-03,  1.08671E-02,  1.22447E-02,  1.37862E-02,  1.55077E-02,  1.74241E-02,  1.95471E-02,  2.18805E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.04735E-02,  1.83101E-02,  1.63421E-02,  1.45620E-02,  1.29583E-02,  1.15174E-02,  1.02257E-02,  9.06995E-03,  8.03752E-03,  7.11673E-03,  6.29671E-03,  5.56745E-03,  4.91973E-03,  4.34510E-03,  3.83585E-03,  3.38493E-03,  2.98599E-03,  2.63323E-03,  2.32148E-03,  2.04606E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  1.62804E-03,  1.87323E-03,  2.15275E-03,  2.47125E-03,  2.83400E-03,  3.24690E-03,  3.71655E-03,  4.25035E-03,  4.85658E-03,  5.54448E-03,  6.32440E-03,  7.20793E-03,  8.20814E-03,  9.33978E-03,  1.06196E-02,  1.20667E-02,  1.37024E-02,  1.55505E-02,  1.76363E-02,  1.99840E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.86536E-02,  1.64946E-02,  1.45675E-02,  1.28512E-02,  1.13248E-02,  9.96897E-03,  8.76605E-03,  7.70007E-03,  6.75666E-03,  5.92278E-03,  5.18668E-03,  4.53770E-03,  3.96617E-03,  3.46341E-03,  3.02154E-03,  2.63351E-03,  2.29301E-03,  1.99438E-03,  1.73261E-03,  1.50322E-03,NA,NA,NA,NA,
NA,NA,NA,  1.09934E-03,  1.29783E-03,  1.52625E-03,  1.78894E-03,  2.09082E-03,  2.43747E-03,  2.83520E-03,  3.29113E-03,  3.81326E-03,  4.41062E-03,  5.09335E-03,  5.87292E-03,  6.76228E-03,  7.77623E-03,  8.93177E-03,  1.02486E-02,  1.17500E-02,  1.34632E-02,  1.54202E-02,  1.76580E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.64873E-02,  1.44252E-02,  1.26087E-02,  1.10087E-02,  9.59989E-03,  8.36011E-03,  7.27008E-03,  6.31280E-03,  5.47315E-03,  4.73764E-03,  4.09421E-03,  3.53204E-03,  3.04145E-03,  2.61381E-03,  2.24139E-03,  1.91737E-03,  1.63567E-03,  1.39094E-03,  1.17847E-03,  9.94112E-04,NA,NA,NA,
NA,NA,  6.09178E-04,  7.62924E-04,  9.42062E-04,  1.15052E-03,  1.39279E-03,  1.67402E-03,  2.00007E-03,  2.37759E-03,  2.81415E-03,  3.31830E-03,  3.89973E-03,  4.56936E-03,  5.33961E-03,  6.22457E-03,  7.24046E-03,  8.40607E-03,  9.74362E-03,  1.12797E-02,  1.30469E-02,  1.50851E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.62880E-02,  1.41119E-02,  1.22137E-02,  1.05563E-02,  9.10863E-03,  7.84455E-03,  6.74170E-03,  5.78066E-03,  4.94438E-03,  4.21778E-03,  3.58744E-03,  3.04146E-03,  2.56923E-03,  2.16136E-03,  1.80954E-03,  1.50645E-03,  1.24565E-03,  1.02150E-03,  8.29072E-04,  6.64080E-04,NA,NA,NA,
NA,NA,  2.72117E-04,  4.04736E-04,  5.61689E-04,  7.46975E-04,  9.65207E-04,  1.22169E-03,  1.52252E-03,  1.87465E-03,  2.28601E-03,  2.76565E-03,  3.32378E-03,  3.97202E-03,  4.72351E-03,  5.59324E-03,  6.59838E-03,  7.75896E-03,  9.09872E-03,  1.06465E-02,  1.24385E-02,  1.45205E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.36093E-02,  1.16534E-02,  9.95821E-03,  8.48828E-03,  7.21418E-03,  6.11104E-03,  5.15739E-03,  4.33450E-03,  3.62580E-03,  3.01668E-03,  2.49417E-03,  2.04683E-03,  1.66457E-03,  1.33854E-03,  1.06099E-03,  8.25160E-04,  6.25183E-04,  4.55970E-04,  3.13122E-04,  1.92846E-04,NA,NA,
NA, -1.72535E-04, -8.29465E-05,  2.61147E-05,  1.58108E-04,  3.17062E-04,  5.07660E-04,  7.35325E-04,  1.00632E-03,  1.32784E-03,  1.70816E-03,  2.15668E-03,  2.68412E-03,  3.30261E-03,  4.02588E-03,  4.86949E-03,  5.85119E-03,  6.99145E-03,  8.31444E-03,  9.84956E-03,  1.16339E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.29081E-02,  1.09215E-02,  9.21018E-03,  7.73578E-03,  6.46682E-03,  5.37663E-03,  4.44216E-03,  3.64319E-03,  2.96187E-03,  2.38245E-03,  1.89101E-03,  1.47532E-03,  1.12467E-03,  8.29729E-04,  5.82384E-04,  3.75624E-04,  2.03404E-04,  6.05337E-05, -5.74393E-05, -1.54320E-04,NA,NA,
NA, -5.19818E-04, -4.54398E-04, -3.71207E-04, -2.66826E-04, -1.37243E-04,  2.22439E-05,  2.17125E-04,  4.53784E-04,  7.39613E-04,  1.08313E-03,  1.49409E-03,  1.98361E-03,  2.56429E-03,  3.25030E-03,  4.05758E-03,  5.00404E-03,  6.10998E-03,  7.39885E-03,  8.89863E-03,  1.06443E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.00205E-02,  8.31403E-03,  6.85253E-03,  5.60368E-03,  4.53972E-03,  3.63634E-03,  2.87203E-03,  2.22776E-03,  1.68670E-03,  1.23405E-03,  8.56848E-04,  5.43839E-04,  2.85270E-04,  7.27474E-05, -1.00927E-04, -2.41900E-04, -3.55406E-04, -4.45888E-04, -5.17112E-04, -5.72259E-04,NA,
