NA,NA,NA,NA,NA,NA,NA,NA,  5.00592E-03,  5.27030E-03,  5.54868E-03,  5.84144E-03,  6.14887E-03,  6.47118E-03,  6.80842E-03,  7.16053E-03,  7.52725E-03,  7.90810E-03,  8.30236E-03,  8.70906E-03,  9.12687E-03,  9.55414E-03,  9.98884E-03,  1.04285E-02,  1.08704E-02,  1.13112E-02,  1.17472E-02,  1.21744E-02,  1.25885E-02,  1.29848E-02,  1.33585E-02,  1.37047E-02,  1.40186E-02,  1.42956E-02,  1.45314E-02,  1.47221E-02,  1.48647E-02,  1.49566E-02,  1.49962E-02,  1.49830E-02,  1.49170E-02,  1.47996E-02,  1.46325E-02,  1.44188E-02,  1.41620E-02,  1.38660E-02,  1.35353E-02,  1.31748E-02,  1.27892E-02,  1.23834E-02,  1.19622E-02,  1.15300E-02,  1.10911E-02,  1.06494E-02,  1.02082E-02,  9.77069E-03,  9.33943E-03,  8.91665E-03,  8.50421E-03,  8.10359E-03,  7.71592E-03,  7.34205E-03,  6.98259E-03,  6.63789E-03,  6.30811E-03,  5.99325E-03,  5.69318E-03,  5.40765E-03,  5.13631E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  4.98035E-03,  5.25166E-03,  5.53843E-03,  5.84127E-03,  6.16071E-03,  6.49720E-03,  6.85109E-03,  7.22261E-03,  7.61183E-03,  8.01860E-03,  8.44257E-03,  8.88308E-03,  9.33917E-03,  9.80949E-03,  1.02923E-02,  1.07854E-02,  1.12861E-02,  1.17912E-02,  1.22969E-02,  1.27990E-02,  1.32929E-02,  1.37731E-02,  1.42343E-02,  1.46706E-02,  1.50759E-02,  1.54444E-02,  1.57703E-02,  1.60483E-02,  1.62736E-02,  1.64422E-02,  1.65511E-02,  1.65981E-02,  1.65824E-02,  1.65044E-02,  1.63654E-02,  1.61680E-02,  1.59159E-02,  1.56133E-02,  1.52655E-02,  1.48778E-02,  1.44563E-02,  1.40069E-02,  1.35355E-02,  1.30478E-02,  1.25492E-02,  1.20447E-02,  1.15388E-02,  1.10355E-02,  1.05382E-02,  1.00499E-02,  9.57311E-03,  9.10969E-03,  8.66123E-03,  8.22887E-03,  7.81341E-03,  7.41536E-03,  7.03496E-03,  6.67225E-03,  6.32707E-03,  5.99914E-03,  5.68804E-03,  5.39328E-03,  5.11429E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  5.21483E-03,  5.50818E-03,  5.81915E-03,  6.14851E-03,  6.49700E-03,  6.86527E-03,  7.25387E-03,  7.66324E-03,  8.09362E-03,  8.54507E-03,  9.01736E-03,  9.50997E-03,  1.00220E-02,  1.05521E-02,  1.10985E-02,  1.16589E-02,  1.22302E-02,  1.28089E-02,  1.33907E-02,  1.39707E-02,  1.45433E-02,  1.51023E-02,  1.56410E-02,  1.61524E-02,  1.66291E-02,  1.70637E-02,  1.74491E-02,  1.77785E-02,  1.80460E-02,  1.82465E-02,  1.83761E-02,  1.84321E-02,  1.84135E-02,  1.83206E-02,  1.81553E-02,  1.79209E-02,  1.76218E-02,  1.72637E-02,  1.68529E-02,  1.63965E-02,  1.59016E-02,  1.53757E-02,  1.48260E-02,  1.42594E-02,  1.36824E-02,  1.31008E-02,  1.25200E-02,  1.19445E-02,  1.13783E-02,  1.08245E-02,  1.02860E-02,  9.76465E-03,  9.26215E-03,  8.77956E-03,  8.31759E-03,  7.87662E-03,  7.45671E-03,  7.05772E-03,  6.67929E-03,  6.32095E-03,  5.98206E-03,  5.66195E-03,  5.35985E-03,  5.07497E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  5.16048E-03,  5.45847E-03,  5.77548E-03,  6.11252E-03,  6.47059E-03,  6.85066E-03,  7.25364E-03,  7.68034E-03,  8.13144E-03,  8.60745E-03,  9.10867E-03,  9.63509E-03,  1.01864E-02,  1.07618E-02,  1.13600E-02,  1.19793E-02,  1.26172E-02,  1.32704E-02,  1.39349E-02,  1.46060E-02,  1.52779E-02,  1.59440E-02,  1.65971E-02,  1.72289E-02,  1.78309E-02,  1.83940E-02,  1.89091E-02,  1.93671E-02,  1.97597E-02,  2.00791E-02,  2.03189E-02,  2.04740E-02,  2.05412E-02,  2.05189E-02,  2.04078E-02,  2.02100E-02,  1.99299E-02,  1.95733E-02,  1.91472E-02,  1.86597E-02,  1.81196E-02,  1.75360E-02,  1.69181E-02,  1.62747E-02,  1.56142E-02,  1.49443E-02,  1.42720E-02,  1.36035E-02,  1.29441E-02,  1.22981E-02,  1.16691E-02,  1.10600E-02,  1.04729E-02,  9.90931E-03,  9.37031E-03,  8.85638E-03,  8.36770E-03,  7.90411E-03,  7.46520E-03,  7.05038E-03,  6.65888E-03,  6.28985E-03,  5.94235E-03,  5.61538E-03,  5.30794E-03,  5.01901E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  5.08950E-03,  5.39019E-03,  5.71108E-03,  6.05343E-03,  6.41851E-03,  6.80759E-03,  7.22193E-03,  7.66274E-03,  8.13117E-03,  8.62822E-03,  9.15474E-03,  9.71135E-03,  1.02984E-02,  1.09157E-02,  1.15629E-02,  1.22388E-02,  1.29416E-02,  1.36689E-02,  1.44172E-02,  1.51821E-02,  1.59581E-02,  1.67388E-02,  1.75163E-02,  1.82820E-02,  1.90261E-02,  1.97379E-02,  2.04063E-02,  2.10198E-02,  2.15672E-02,  2.20376E-02,  2.24212E-02,  2.27097E-02,  2.28966E-02,  2.29777E-02,  2.29509E-02,  2.28170E-02,  2.25790E-02,  2.22424E-02,  2.18146E-02,  2.13047E-02,  2.07231E-02,  2.00810E-02,  1.93896E-02,  1.86605E-02,  1.79044E-02,  1.71317E-02,  1.63516E-02,  1.55723E-02,  1.48010E-02,  1.40437E-02,  1.33054E-02,  1.25898E-02,  1.19001E-02,  1.12382E-02,  1.06057E-02,  1.00034E-02,  9.43146E-03,  8.88982E-03,  8.37800E-03,  7.89525E-03,  7.44064E-03,  7.01309E-03,  6.61142E-03,  6.23440E-03,  5.88074E-03,  5.54919E-03,  5.23846E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  5.00307E-03,  5.30450E-03,  5.62711E-03,  5.97235E-03,  6.34177E-03,  6.73692E-03,  7.15941E-03,  7.61085E-03,  8.09282E-03,  8.60687E-03,  9.15442E-03,  9.73676E-03,  1.03549E-02,  1.10097E-02,  1.17013E-02,  1.24297E-02,  1.31941E-02,  1.39928E-02,  1.48233E-02,  1.56821E-02,  1.65645E-02,  1.74642E-02,  1.83739E-02,  1.92846E-02,  2.01857E-02,  2.10655E-02,  2.19110E-02,  2.27084E-02,  2.34431E-02,  2.41009E-02,  2.46679E-02,  2.51316E-02,  2.54810E-02,  2.57077E-02,  2.58061E-02,  2.57737E-02,  2.56113E-02,  2.53230E-02,  2.49158E-02,  2.43995E-02,  2.37859E-02,  2.30883E-02,  2.23207E-02,  2.14978E-02,  2.06336E-02,  1.97417E-02,  1.88345E-02,  1.79231E-02,  1.70173E-02,  1.61252E-02,  1.52538E-02,  1.44085E-02,  1.35933E-02,  1.28114E-02,  1.20647E-02,  1.13544E-02,  1.06810E-02,  1.00444E-02,  9.44405E-03,  8.87906E-03,  8.34825E-03,  7.85025E-03,  7.38357E-03,  6.94665E-03,  6.53788E-03,  6.15566E-03,  5.79839E-03,  5.46453E-03,  5.15258E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  5.20285E-03,  5.52504E-03,  5.87079E-03,  6.24187E-03,  6.64010E-03,  7.06742E-03,  7.52580E-03,  8.01729E-03,  8.54392E-03,  9.10772E-03,  9.71066E-03,  1.03546E-02,  1.10410E-02,  1.17714E-02,  1.25465E-02,  1.33668E-02,  1.42318E-02,  1.51404E-02,  1.60902E-02,  1.70776E-02,  1.80976E-02,  1.91434E-02,  2.02066E-02,  2.12767E-02,  2.23413E-02,  2.33861E-02,  2.43952E-02,  2.53512E-02,  2.62361E-02,  2.70313E-02,  2.77192E-02,NA,NA,NA,NA,NA,NA,NA,NA,  2.73941E-02,  2.66510E-02,  2.58093E-02,  2.48870E-02,  2.39025E-02,  2.28737E-02,  2.18172E-02,  2.07482E-02,  1.96801E-02,  1.86243E-02,  1.75902E-02,  1.65856E-02,  1.56162E-02,  1.46864E-02,  1.37991E-02,  1.29560E-02,  1.21580E-02,  1.14051E-02,  1.06965E-02,  1.00312E-02,  9.40775E-03,  8.82437E-03,  8.27916E-03,  7.77013E-03,  7.29524E-03,  6.85244E-03,  6.43972E-03,  6.05512E-03,  5.69677E-03,  5.36286E-03,  5.05170E-03,NA,NA,NA,NA,
NA,NA,NA,  5.08686E-03,  5.40660E-03,  5.75055E-03,  6.12068E-03,  6.51905E-03,  6.94787E-03,  7.40947E-03,  7.90630E-03,  8.44088E-03,  9.01581E-03,  9.63373E-03,  1.02972E-02,  1.10089E-02,  1.17709E-02,  1.25855E-02,  1.34543E-02,  1.43783E-02,  1.53579E-02,  1.63924E-02,  1.74799E-02,  1.86169E-02,  1.97984E-02,  2.10169E-02,  2.22631E-02,  2.35248E-02,  2.47874E-02,  2.60335E-02,  2.72437E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.78371E-02,  2.66534E-02,  2.54229E-02,  2.41663E-02,  2.29021E-02,  2.16464E-02,  2.04125E-02,  1.92111E-02,  1.80507E-02,  1.69376E-02,  1.58758E-02,  1.48682E-02,  1.39160E-02,  1.30192E-02,  1.21773E-02,  1.13888E-02,  1.06519E-02,  9.96423E-03,  9.32349E-03,  8.72707E-03,  8.17234E-03,  7.65668E-03,  7.17751E-03,  6.73235E-03,  6.31881E-03,  5.93463E-03,  5.57765E-03,  5.24586E-03,NA,NA,NA,NA,
NA,NA,NA,  5.27370E-03,  5.61369E-03,  5.98038E-03,  6.37605E-03,  6.80316E-03,  7.26432E-03,  7.76233E-03,  8.30017E-03,  8.88097E-03,  9.50797E-03,  1.01845E-02,  1.09141E-02,  1.17000E-02,  1.25455E-02,  1.34538E-02,  1.44273E-02,  1.54683E-02,  1.65780E-02,  1.77567E-02,  1.90031E-02,  2.03143E-02,  2.16852E-02,  2.31083E-02,  2.45729E-02,  2.60654E-02,  2.75685E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.68296E-02,  2.53293E-02,  2.38485E-02,  2.24028E-02,  2.10042E-02,  1.96618E-02,  1.83819E-02,  1.71685E-02,  1.60237E-02,  1.49478E-02,  1.39402E-02,  1.29990E-02,  1.21219E-02,  1.13061E-02,  1.05483E-02,  9.84520E-03,  9.19341E-03,  8.58953E-03,  8.03024E-03,  7.51236E-03,  7.03282E-03,  6.58874E-03,  6.17741E-03,  5.79628E-03,  5.44299E-03,  5.11536E-03,NA,NA,NA,
NA,NA,  5.12839E-03,  5.46241E-03,  5.82338E-03,  6.21372E-03,  6.63606E-03,  7.09328E-03,  7.58849E-03,  8.12501E-03,  8.70644E-03,  9.33659E-03,  1.00195E-02,  1.07594E-02,  1.15607E-02,  1.24278E-02,  1.33652E-02,  1.43771E-02,  1.54677E-02,  1.66402E-02,  1.78974E-02,  1.92409E-02,  2.06705E-02,  2.21843E-02,  2.37776E-02,  2.54430E-02,  2.71690E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.63157E-02,  2.46178E-02,  2.29865E-02,  2.14313E-02,  1.99584E-02,  1.85709E-02,  1.72698E-02,  1.60543E-02,  1.49224E-02,  1.38708E-02,  1.28960E-02,  1.19936E-02,  1.11593E-02,  1.03887E-02,  9.67724E-03,  9.02072E-03,  8.41495E-03,  7.85601E-03,  7.34019E-03,  6.86403E-03,  6.42429E-03,  6.01799E-03,  5.64239E-03,  5.29493E-03,  4.97330E-03,NA,NA,
