NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.55023E-03,  4.59356E-03,  4.63231E-03,  4.66623E-03,  4.69518E-03,  4.71919E-03,  4.73844E-03,  4.75335E-03,  4.76462E-03,  4.77326E-03,  4.78063E-03,  4.78851E-03,  4.79909E-03,  4.81498E-03,  4.83925E-03,  4.87534E-03,  4.92700E-03,  4.99822E-03,  5.09301E-03,  5.21528E-03,  5.36857E-03,  5.55575E-03,  5.77877E-03,  6.03831E-03,  6.33345E-03,  6.66146E-03,  7.01753E-03,  7.39468E-03,  7.78379E-03,  8.17375E-03,  8.55181E-03,  8.90410E-03,  9.21630E-03,  9.47440E-03,  9.66551E-03,  9.77864E-03,  9.80540E-03,  9.74044E-03,  9.58172E-03,  9.33052E-03,  8.99117E-03,  8.57064E-03,  8.07798E-03,  7.52363E-03,  6.91886E-03,  6.27512E-03,  5.60359E-03,  4.91482E-03,  4.21843E-03,  3.52295E-03,  2.83578E-03,  2.16318E-03,  1.51029E-03,  8.81247E-04,  2.79255E-04, -2.93282E-04, -8.34668E-04, -1.34381E-03, -1.82013E-03, -2.26347E-03, -2.67403E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  4.71208E-03,  4.76528E-03,  4.81365E-03,  4.85672E-03,  4.89411E-03,  4.92553E-03,  4.95086E-03,  4.97017E-03,  4.98377E-03,  4.99230E-03,  4.99676E-03,  4.99858E-03,  4.99968E-03,  5.00252E-03,  5.01010E-03,  5.02601E-03,  5.05439E-03,  5.09984E-03,  5.16735E-03,  5.26208E-03,  5.38918E-03,  5.55349E-03,  5.75918E-03,  6.00938E-03,  6.30574E-03,  6.64802E-03,  7.03370E-03,  7.45766E-03,  7.91197E-03,  8.38583E-03,  8.86578E-03,  9.33606E-03,  9.77927E-03,  1.01773E-02,  1.05121E-02,  1.07673E-02,  1.09287E-02,  1.09856E-02,  1.09314E-02,  1.07636E-02,  1.04843E-02,  1.00996E-02,  9.61856E-03,  9.05314E-03,  8.41677E-03,  7.72366E-03,  6.98806E-03,  6.22361E-03,  5.44294E-03,  4.65733E-03,  3.87660E-03,  3.10907E-03,  2.36157E-03,  1.63961E-03,  9.47453E-04,  2.88285E-04, -3.35624E-04, -9.22799E-04, -1.47242E-03, -1.98420E-03, -2.45833E-03, -2.89532E-03, -3.29600E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  4.87136E-03,  4.93597E-03,  4.99579E-03,  5.05015E-03,  5.09844E-03,  5.14007E-03,  5.17460E-03,  5.20169E-03,  5.22124E-03,  5.23341E-03,  5.23869E-03,  5.23803E-03,  5.23287E-03,  5.22523E-03,  5.21782E-03,  5.21404E-03,  5.21805E-03,  5.23476E-03,  5.26978E-03,  5.32928E-03,  5.41984E-03,  5.54818E-03,  5.72081E-03,  5.94363E-03,  6.22139E-03,  6.55717E-03,  6.95181E-03,  7.40333E-03,  7.90648E-03,  8.45235E-03,  9.02825E-03,  9.61788E-03,  1.02017E-02,  1.07578E-02,  1.12630E-02,  1.16943E-02,  1.20303E-02,  1.22526E-02,  1.23476E-02,  1.23068E-02,  1.21277E-02,  1.18133E-02,  1.13719E-02,  1.08161E-02,  1.01615E-02,  9.42549E-03,  8.62607E-03,  7.78100E-03,  6.90696E-03,  6.01900E-03,  5.13031E-03,  4.25207E-03,  3.39350E-03,  2.56200E-03,  1.76327E-03,  1.00161E-03,  2.80029E-04, -3.99471E-04, -1.03576E-03, -1.62841E-03, -2.17757E-03, -2.68380E-03, -3.14807E-03, -3.57159E-03, -3.95580E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  5.02547E-03,  5.10279E-03,  5.17568E-03,  5.24332E-03,  5.30488E-03,  5.35952E-03,  5.40646E-03,  5.44499E-03,  5.47453E-03,  5.49472E-03,  5.50549E-03,  5.50714E-03,  5.50044E-03,  5.48678E-03,  5.46823E-03,  5.44767E-03,  5.42890E-03,  5.41668E-03,  5.41676E-03,  5.43589E-03,  5.48167E-03,  5.56239E-03,  5.68672E-03,  5.86333E-03,  6.10038E-03,  6.40485E-03,  6.78187E-03,  7.23390E-03,  7.76003E-03,  8.35516E-03,  9.00952E-03,  9.70835E-03,  1.04319E-02,  1.11560E-02,  1.18528E-02,  1.24926E-02,  1.30456E-02,  1.34838E-02,NA,NA,  1.39023E-02,  1.37083E-02,  1.33491E-02,  1.28364E-02,  1.21873E-02,  1.14225E-02,  1.05647E-02,  9.63674E-03,  8.66086E-03,  7.65734E-03,  6.64409E-03,  5.63638E-03,  4.64679E-03,  3.68539E-03,  2.75997E-03,  1.87628E-03,  1.03842E-03,  2.49070E-04, -4.90242E-04, -1.17889E-03, -1.81699E-03, -2.40521E-03, -2.94467E-03, -3.43682E-03, -3.88336E-03, -4.28618E-03, -4.64732E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  5.26278E-03,  5.35006E-03,  5.43267E-03,  5.50961E-03,  5.57985E-03,  5.64230E-03,  5.69591E-03,  5.73966E-03,  5.77266E-03,  5.79422E-03,  5.80391E-03,  5.80173E-03,  5.78820E-03,  5.76451E-03,  5.73269E-03,  5.69571E-03,  5.65770E-03,  5.62402E-03,  5.60134E-03,  5.59766E-03,  5.62224E-03,  5.68544E-03,  5.79834E-03,  5.97236E-03,  6.21860E-03,  6.54706E-03,  6.96571E-03,  7.47951E-03,  8.08927E-03,  8.79065E-03,  9.57328E-03,  1.04201E-02,  1.13075E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.28578E-02,  1.18502E-02,  1.07663E-02,  9.63379E-03,  8.47721E-03,  7.31775E-03,  6.17286E-03,  5.05651E-03,  3.97940E-03,  2.94945E-03,  1.97223E-03,  1.05134E-03,  1.88859E-04, -6.14362E-04, -1.35842E-03, -2.04412E-03, -2.67284E-03, -3.24632E-03, -3.76664E-03, -4.23607E-03, -4.65702E-03, -5.03201E-03, -5.36363E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  5.41302E-03,  5.51559E-03,  5.61444E-03,  5.70847E-03,  5.79650E-03,  5.87723E-03,  5.94932E-03,  6.01137E-03,  6.06201E-03,  6.09992E-03,  6.12397E-03,  6.13330E-03,  6.12745E-03,  6.10652E-03,  6.07138E-03,  6.02382E-03,  5.96681E-03,  5.90470E-03,  5.84336E-03,  5.79042E-03,  5.75525E-03,  5.74901E-03,  5.78448E-03,  5.87572E-03,  6.03758E-03,  6.28498E-03,  6.63192E-03,  7.09037E-03,  7.66886E-03,  8.37102E-03,  9.19413E-03,  1.01278E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.20247E-02,  1.07043E-02,  9.36696E-03,  8.03720E-03,  6.73477E-03,  5.47472E-03,  4.26809E-03,  3.12255E-03,  2.04304E-03,  1.03233E-03,  9.15677E-05, -7.79374E-04, -1.58154E-03, -2.31664E-03, -2.98688E-03, -3.59481E-03, -4.14320E-03, -4.63499E-03, -5.07319E-03, -5.46089E-03, -5.80116E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  5.55073E-03,  5.66906E-03,  5.78493E-03,  5.89723E-03,  6.00470E-03,  6.10594E-03,  6.19940E-03,  6.28339E-03,  6.35615E-03,  6.41585E-03,  6.46069E-03,  6.48896E-03,  6.49919E-03,  6.49032E-03,  6.46184E-03,  6.41406E-03,  6.34837E-03,  6.26749E-03,  6.17579E-03,  6.07960E-03,  5.98738E-03,  5.90999E-03,  5.86068E-03,  5.85507E-03,  5.91078E-03,  6.04695E-03,  6.28337E-03,  6.63934E-03,  7.13224E-03,  7.77575E-03,  8.57787E-03,  9.53884E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.18743E-02,  1.03238E-02,  8.79643E-03,  7.31395E-03,  5.89204E-03,  4.54148E-03,  3.26911E-03,  2.07870E-03,  9.71719E-04, -5.20531E-05, -9.94037E-04, -1.85650E-03, -2.64227E-03, -3.35457E-03, -3.99687E-03, -4.57276E-03, -5.08592E-03, -5.54007E-03, -5.93889E-03, -6.28603E-03, -6.58507E-03, -6.83953E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  5.80754E-03,  5.94066E-03,  6.07179E-03,  6.19971E-03,  6.32297E-03,  6.43996E-03,  6.54882E-03,  6.64753E-03,  6.73386E-03,  6.80548E-03,  6.85996E-03,  6.89490E-03,  6.90806E-03,  6.89755E-03,  6.86200E-03,  6.80091E-03,  6.71495E-03,  6.60629E-03,  6.47908E-03,  6.33980E-03,  6.19767E-03,  6.06497E-03,  5.95725E-03,  5.89332E-03,  5.89505E-03,  5.98680E-03,  6.19454E-03,  6.54447E-03,  7.06128E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.13401E-02,  9.58488E-03,  7.89816E-03,  6.29548E-03,  4.78650E-03,  3.37638E-03,  2.06703E-03,  8.57990E-04, -2.52787E-04, -1.26841E-03, -2.19265E-03, -3.02970E-03, -3.78397E-03, -4.45996E-03, -5.06221E-03, -5.59524E-03, -6.06351E-03, -6.47138E-03, -6.82312E-03, -7.12289E-03, -7.37471E-03, -7.58246E-03, -7.74985E-03, -7.88045E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,  5.92854E-03,  6.07859E-03,  6.22849E-03,  6.37712E-03,  6.52312E-03,  6.66491E-03,  6.80061E-03,  6.92810E-03,  7.04494E-03,  7.14843E-03,  7.23562E-03,  7.30335E-03,  7.34839E-03,  7.36752E-03,  7.35774E-03,  7.31657E-03,  7.24231E-03,  7.13451E-03,  6.99441E-03,  6.82547E-03,  6.63398E-03,  6.42961E-03,  6.22593E-03,  6.04081E-03,  5.89663E-03,  5.82015E-03,  5.84206E-03,  5.99602E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.03860E-02,  8.46997E-03,  6.66769E-03,  4.98645E-03,  3.42866E-03,  1.99343E-03,  6.77677E-04, -5.23027E-04, -1.61388E-03, -2.60049E-03, -3.48860E-03, -4.28397E-03, -4.99229E-03, -5.61912E-03, -6.16989E-03, -6.64987E-03, -7.06417E-03, -7.41773E-03, -7.71532E-03, -7.96152E-03, -8.16072E-03, -8.31712E-03, -8.43470E-03, -8.51721E-03, -8.56821E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,  6.03013E-03,  6.19626E-03,  6.36423E-03,  6.53312E-03,  6.70172E-03,  6.86862E-03,  7.03205E-03,  7.18995E-03,  7.33986E-03,  7.47897E-03,  7.60403E-03,  7.71140E-03,  7.79711E-03,  7.85688E-03,  7.88631E-03,  7.88104E-03,  7.83704E-03,  7.75101E-03,  7.62086E-03,  7.44629E-03,  7.22952E-03,  6.97605E-03,  6.69549E-03,  6.40236E-03,  6.11674E-03,  5.86477E-03,  5.67877E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.00552E-03,  6.98619E-03,  5.12060E-03,  3.40706E-03,  1.84080E-03,  4.15314E-04, -8.76787E-04, -2.04321E-03, -3.09164E-03, -4.02961E-03, -4.86436E-03, -5.60284E-03, -6.25173E-03, -6.81742E-03, -7.30606E-03, -7.72355E-03, -8.07555E-03, -8.36748E-03, -8.60454E-03, -8.79167E-03, -8.93358E-03, -9.03470E-03, -9.09921E-03, -9.13103E-03, -9.13380E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
