NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.01907E-02, -3.06837E-02, -3.11804E-02, -3.16795E-02, -3.21798E-02, -3.26798E-02, -3.31779E-02, -3.36724E-02, -3.41615E-02, -3.46434E-02, -3.51161E-02, -3.55780E-02, -3.60275E-02, -3.64632E-02, -3.68842E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.24832E-02, -4.20571E-02, -4.15838E-02, -4.10698E-02, -4.05213E-02, -3.99444E-02, -3.93447E-02, -3.87274E-02, -3.80974E-02, -3.74588E-02, -3.68153E-02, -3.61704E-02, -3.55267E-02, -3.48868E-02, -3.42526E-02, -3.36259E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.00276E-02, -3.05302E-02, -3.10378E-02, -3.15490E-02, -3.20626E-02, -3.25771E-02, -3.30909E-02, -3.36019E-02, -3.41084E-02, -3.46080E-02, -3.50986E-02, -3.55780E-02, -3.60441E-02, -3.64948E-02, -3.69286E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.30100E-02, -4.25113E-02, -4.19679E-02, -4.13869E-02, -4.07755E-02, -4.01400E-02, -3.94863E-02, -3.88198E-02, -3.81452E-02, -3.74665E-02, -3.67873E-02, -3.61105E-02, -3.54389E-02, -3.47744E-02, -3.41189E-02, -3.34737E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -2.98367E-02, -3.03476E-02, -3.08646E-02, -3.13866E-02, -3.19123E-02, -3.24403E-02, -3.29688E-02, -3.34958E-02, -3.40193E-02, -3.45368E-02, -3.50458E-02, -3.55436E-02, -3.60275E-02, -3.64948E-02, -3.69431E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.34545E-02, -4.28801E-02, -4.22649E-02, -4.16170E-02, -4.09437E-02, -4.02518E-02, -3.95470E-02, -3.88347E-02, -3.81192E-02, -3.74043E-02, -3.66934E-02, -3.59890E-02, -3.52933E-02, -3.46082E-02, -3.39351E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -3.01367E-02, -3.06616E-02, -3.11929E-02, -3.17294E-02, -3.22695E-02, -3.28117E-02, -3.33539E-02, -3.38939E-02, -3.44292E-02, -3.49569E-02, -3.54740E-02, -3.59772E-02, -3.64632E-02, -3.69286E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.38043E-02, -4.31530E-02, -4.24667E-02, -4.17537E-02, -4.10215E-02, -4.02767E-02, -3.95250E-02, -3.87712E-02, -3.80194E-02, -3.72731E-02, -3.65350E-02, -3.58074E-02, -3.50921E-02, -3.43904E-02, -3.37035E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -2.98988E-02, -3.04300E-02, -3.09689E-02, -3.15145E-02, -3.20653E-02, -3.26198E-02, -3.31760E-02, -3.37317E-02, -3.42843E-02, -3.48308E-02, -3.53679E-02, -3.58918E-02, -3.63987E-02, -3.68842E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.40486E-02, -4.33218E-02, -4.25670E-02, -4.17926E-02, -4.10060E-02, -4.02133E-02, -3.94199E-02, -3.86301E-02, -3.78474E-02, -3.70748E-02, -3.63146E-02, -3.55685E-02, -3.48380E-02, -3.41240E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -3.01710E-02, -3.07158E-02, -3.12686E-02, -3.18284E-02, -3.23936E-02, -3.29623E-02, -3.35325E-02, -3.41015E-02, -3.46663E-02, -3.52235E-02, -3.57691E-02, -3.62987E-02, -3.68075E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.41790E-02, -4.33804E-02, -4.25620E-02, -4.17318E-02, -4.08968E-02, -4.00625E-02, -3.92336E-02, -3.84137E-02, -3.76060E-02, -3.68126E-02, -3.60354E-02, -3.52758E-02, -3.45346E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -3.04350E-02, -3.09932E-02, -3.15600E-02, -3.21339E-02, -3.27134E-02, -3.32963E-02, -3.38803E-02, -3.44625E-02, -3.50393E-02, -3.56068E-02, -3.61603E-02, -3.66946E-02, -3.72037E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.41902E-02, -4.33260E-02, -4.24508E-02, -4.15720E-02, -4.06957E-02, -3.98268E-02, -3.89692E-02, -3.81258E-02, -3.72990E-02, -3.64906E-02, -3.57018E-02, -3.49334E-02, -3.41860E-02,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -3.01283E-02, -3.06899E-02, -3.12616E-02, -3.18422E-02, -3.24302E-02, -3.30239E-02, -3.36210E-02, -3.42188E-02, -3.48141E-02, -3.54028E-02, -3.59804E-02, -3.65414E-02, -3.70796E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.49923E-02, -4.40805E-02, -4.31588E-02, -4.22352E-02, -4.13162E-02, -4.04067E-02, -3.95108E-02, -3.86316E-02, -3.77713E-02, -3.69317E-02, -3.61138E-02, -3.53185E-02, -3.45461E-02,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -3.03607E-02, -3.09351E-02, -3.15200E-02, -3.21142E-02, -3.27163E-02, -3.33242E-02, -3.39355E-02, -3.45472E-02, -3.51556E-02, -3.57564E-02, -3.63440E-02, -3.69124E-02, -3.74541E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.48209E-02, -4.38516E-02, -4.28824E-02, -4.19199E-02, -4.09696E-02, -4.00353E-02, -3.91203E-02, -3.82267E-02, -3.73561E-02, -3.65096E-02, -3.56877E-02, -3.48908E-02, -3.41187E-02,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -3.05827E-02, -3.11696E-02, -3.17676E-02, -3.23754E-02, -3.29914E-02, -3.36135E-02, -3.42391E-02, -3.48648E-02, -3.54866E-02, -3.60995E-02, -3.66976E-02, -3.72736E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.55421E-02, -4.45244E-02, -4.35090E-02, -4.25030E-02, -4.15117E-02, -4.05394E-02, -3.95889E-02, -3.86624E-02, -3.77614E-02, -3.68868E-02, -3.60391E-02, -3.52182E-02, -3.44242E-02,NA,NA,NA,NA,NA,NA,
