NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.98989E-03, -9.20401E-03, -9.41067E-03, -9.60767E-03, -9.79255E-03, -9.96262E-03, -1.01149E-02, -1.02463E-02, -1.03534E-02, -1.04326E-02, -1.04800E-02, -1.04920E-02, -1.04644E-02, -1.03935E-02, -1.02755E-02, -1.01068E-02, -9.88415E-03, -9.60479E-03, -9.26650E-03, -8.86774E-03, -8.40778E-03, -7.88682E-03, -7.30601E-03, -6.66760E-03, -5.97493E-03, -5.23248E-03, -4.44584E-03, -3.62171E-03, -2.76786E-03, -1.89303E-03, -1.00690E-03, -1.19903E-04,  7.56847E-04,  1.61180E-03,  2.43320E-03,  3.20942E-03,  3.92931E-03,  4.58271E-03,  5.16084E-03,  5.65684E-03,  6.06609E-03,  6.38652E-03,  6.61869E-03,  6.76564E-03,  6.83269E-03,  6.82690E-03,  6.75666E-03,  6.63106E-03,  6.45943E-03,  6.25087E-03,  6.01394E-03,  5.75642E-03,  5.48518E-03,  5.20610E-03,  4.92415E-03,  4.64337E-03,  4.36699E-03,  4.09754E-03,  3.83690E-03,  3.58645E-03,  3.34711E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.00142E-03, -9.23652E-03, -9.46652E-03, -9.68935E-03, -9.90264E-03, -1.01038E-02, -1.02898E-02, -1.04576E-02, -1.06036E-02, -1.07240E-02, -1.08149E-02, -1.08721E-02, -1.08911E-02, -1.08676E-02, -1.07970E-02, -1.06750E-02, -1.04975E-02, -1.02606E-02, -9.96101E-03, -9.59608E-03, -9.16386E-03, -8.66331E-03, -8.09444E-03, -7.45839E-03, -6.75751E-03, -5.99539E-03, -5.17693E-03, -4.30830E-03, -3.39695E-03, -2.45151E-03, -1.48181E-03, -4.98714E-04,  4.85901E-04,  1.45933E-03,  2.40821E-03,  3.31878E-03,  4.17725E-03,  4.97029E-03,  5.68556E-03,  6.31235E-03,  6.84227E-03,  7.26973E-03,  7.59240E-03,  7.81130E-03,  7.93070E-03,  7.95768E-03,  7.90156E-03,  7.77313E-03,  7.58393E-03,  7.34558E-03,  7.06921E-03,  6.76505E-03,  6.44220E-03,  6.10850E-03,  5.77052E-03,  5.43362E-03,  5.10204E-03,  4.77905E-03,  4.46708E-03,  4.16786E-03,  3.88255E-03,  3.61182E-03,  3.35598E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.97598E-03, -9.22973E-03, -9.48080E-03, -9.72725E-03, -9.96688E-03, -1.01972E-02, -1.04154E-02, -1.06182E-02, -1.08023E-02, -1.09638E-02, -1.10985E-02, -1.12019E-02, -1.12695E-02, -1.12962E-02, -1.12770E-02, -1.12068E-02, -1.10805E-02, -1.08934E-02, -1.06410E-02, -1.03193E-02, -9.92517E-03, -9.45611E-03, -8.91078E-03, -8.28898E-03, -7.59179E-03, -6.82166E-03, -5.98249E-03, -5.07962E-03, -4.11984E-03, -3.11137E-03, -2.06380E-03, -9.88070E-04,  1.03650E-04,  1.19797E-03,  2.28043E-03,  3.33561E-03,  4.34744E-03,  5.29956E-03,  6.17586E-03,  6.96126E-03,  7.64252E-03,  8.20916E-03,  8.65430E-03,  8.97519E-03,  9.17350E-03,  9.25511E-03,  9.22952E-03,  9.10900E-03,  8.90753E-03,  8.63980E-03,  8.32028E-03,  7.96255E-03,  7.57880E-03,  7.17960E-03,  6.77381E-03,  6.36862E-03,  5.96970E-03,  5.58139E-03,  5.20686E-03,  4.84833E-03,  4.50723E-03,  4.18438E-03,  3.88011E-03,  3.59437E-03,  3.32685E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.18408E-03, -9.45356E-03, -9.72099E-03, -9.98436E-03, -1.02413E-02, -1.04893E-02, -1.07252E-02, -1.09456E-02, -1.11467E-02, -1.13244E-02, -1.14742E-02, -1.15909E-02, -1.16695E-02, -1.17044E-02, -1.16897E-02, -1.16198E-02, -1.14888E-02, -1.12911E-02, -1.10216E-02, -1.06756E-02, -1.02492E-02, -9.73942E-03, -9.14457E-03, -8.46417E-03, -7.69924E-03, -6.85237E-03, -5.92775E-03, -4.93123E-03, -3.87027E-03, -2.75392E-03, -1.59277E-03, -3.98892E-04,  8.14194E-04,  2.03153E-03,  3.23675E-03,  4.41223E-03,  5.53921E-03,  6.59825E-03,  7.56984E-03,  8.43534E-03,  9.17813E-03,  9.78491E-03,  1.02469E-02,  1.05608E-02,  1.07291E-02,  1.07599E-02,  1.06659E-02,  1.04635E-02,  1.01707E-02,  9.80635E-03,  9.38846E-03,  8.93356E-03,  8.45606E-03,  7.96814E-03,  7.47963E-03,  6.99826E-03,  6.52988E-03,  6.07870E-03,  5.64764E-03,  5.23852E-03,  4.85233E-03,  4.48942E-03,  4.14963E-03,  3.83247E-03,  3.53719E-03,  3.26285E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.10072E-03, -9.38569E-03, -9.67111E-03, -9.95517E-03, -1.02358E-02, -1.05105E-02, -1.07766E-02, -1.10307E-02, -1.12692E-02, -1.14881E-02, -1.16827E-02, -1.18481E-02, -1.19787E-02, -1.20688E-02, -1.21121E-02, -1.21020E-02, -1.20321E-02, -1.18956E-02, -1.16861E-02, -1.13975E-02, -1.10245E-02, -1.05623E-02, -1.00074E-02, -9.35759E-03, -8.61219E-03, -7.77212E-03, -6.84013E-03, -5.82079E-03, -4.72051E-03, -3.54750E-03, -2.31168E-03, -1.02466E-03,  3.00336E-04,  1.64846E-03,  3.00319E-03,  4.34626E-03,  5.65763E-03,  6.91559E-03,  8.09705E-03,  9.17827E-03,  1.01360E-02,  1.09491E-02,  1.16003E-02,  1.20781E-02,  1.23784E-02,  1.25046E-02,  1.24679E-02,  1.22857E-02,  1.19794E-02,  1.15729E-02,  1.10901E-02,  1.05536E-02,  9.98318E-03,  9.39595E-03,  8.80561E-03,  8.22291E-03,  7.65592E-03,  7.11037E-03,  6.59017E-03,  6.09768E-03,  5.63413E-03,  5.19987E-03,  4.79462E-03,  4.41760E-03,  4.06776E-03,  3.74381E-03,  3.44435E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.98150E-03, -9.27886E-03, -9.57900E-03, -9.88040E-03, -1.01812E-02, -1.04792E-02, -1.07720E-02, -1.10564E-02, -1.13291E-02, -1.15862E-02, -1.18232E-02, -1.20352E-02, -1.22166E-02, -1.23615E-02, -1.24633E-02, -1.25150E-02, -1.25093E-02, -1.24388E-02, -1.22957E-02, -1.20727E-02, -1.17627E-02, -1.13594E-02, -1.08572E-02, -1.02520E-02, -9.54104E-03, -8.72331E-03, -7.79973E-03, -6.77328E-03, -5.64898E-03, -4.43391E-03, -3.13711E-03, -1.76947E-03, -3.43633E-04,  1.12606E-03,  2.62354E-03,  4.13084E-03,  5.62788E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.44033E-02,  1.41075E-02,  1.36702E-02,  1.31227E-02,  1.24955E-02,  1.18165E-02,  1.11099E-02,  1.03951E-02,  9.68761E-03,  8.99866E-03,  8.33635E-03,  7.70599E-03,  7.11077E-03,  6.55226E-03,  6.03081E-03,  5.54589E-03,  5.09640E-03,  4.68081E-03,  4.29736E-03,  3.94416E-03,  3.61925E-03,  3.32068E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.13540E-03, -9.44690E-03, -9.76206E-03, -1.00793E-02, -1.03968E-02, -1.07122E-02, -1.10229E-02, -1.13258E-02, -1.16173E-02, -1.18930E-02, -1.21484E-02, -1.23779E-02, -1.25756E-02, -1.27348E-02, -1.28482E-02, -1.29081E-02, -1.29062E-02, -1.28340E-02, -1.26829E-02, -1.24441E-02, -1.21097E-02, -1.16722E-02, -1.11251E-02, -1.04635E-02, -9.68407E-03, -8.78558E-03, -7.76898E-03, -6.63754E-03, -5.39691E-03, -4.05501E-03, -2.62187E-03, -1.10944E-03,  4.68570E-04,  2.09678E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.55470E-02,  1.48254E-02,  1.40231E-02,  1.31746E-02,  1.23085E-02,  1.14471E-02,  1.06069E-02,  9.79943E-03,  9.03228E-03,  8.30983E-03,  7.63416E-03,  7.00561E-03,  6.42335E-03,  5.88574E-03,  5.39065E-03,  4.93563E-03,  4.51810E-03,  4.13544E-03,  3.78508E-03,  3.46453E-03,  3.17140E-03,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.95822E-03, -9.27768E-03, -9.60295E-03, -9.93278E-03, -1.02656E-02, -1.05994E-02, -1.09320E-02, -1.12605E-02, -1.15817E-02, -1.18916E-02, -1.21860E-02, -1.24595E-02, -1.27065E-02, -1.29202E-02, -1.30934E-02, -1.32181E-02, -1.32855E-02, -1.32864E-02, -1.32111E-02, -1.30497E-02, -1.27924E-02, -1.24298E-02, -1.19532E-02, -1.13552E-02, -1.06300E-02, -9.77355E-03, -8.78450E-03, -7.66390E-03, -6.41553E-03, -5.04589E-03, -3.56400E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.56680E-02,  1.46197E-02,  1.35692E-02,  1.25411E-02,  1.15527E-02,  1.06149E-02,  9.73412E-03,  8.91320E-03,  8.15252E-03,  7.45080E-03,  6.80567E-03,  6.21410E-03,  5.67273E-03,  5.17802E-03,  4.72646E-03,  4.31462E-03,  3.93923E-03,  3.59721E-03,  3.28566E-03,  3.00192E-03,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.75069E-03, -9.07477E-03, -9.40656E-03, -9.74505E-03, -1.00890E-02, -1.04368E-02, -1.07864E-02, -1.11356E-02, -1.14814E-02, -1.18204E-02, -1.21484E-02, -1.24609E-02, -1.27521E-02, -1.30159E-02, -1.32451E-02, -1.34317E-02, -1.35666E-02, -1.36404E-02, -1.36424E-02, -1.35619E-02, -1.33875E-02, -1.31080E-02, -1.27125E-02, -1.21911E-02, -1.15349E-02, -1.07373E-02, -9.79380E-03, -8.70265E-03, -7.46527E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.61359E-02,  1.48753E-02,  1.36611E-02,  1.25100E-02,  1.14315E-02,  1.04298E-02,  9.50544E-03,  8.65659E-03,  7.87981E-03,  7.17086E-03,  6.52504E-03,  5.93754E-03,  5.40362E-03,  4.91871E-03,  4.47849E-03,  4.07895E-03,  3.71636E-03,  3.38730E-03,  3.08864E-03,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.84201E-03, -9.17685E-03, -9.52023E-03, -9.87118E-03, -1.02285E-02, -1.05904E-02, -1.09551E-02, -1.13201E-02, -1.16823E-02, -1.20382E-02, -1.23835E-02, -1.27132E-02, -1.30213E-02, -1.33010E-02, -1.35446E-02, -1.37432E-02, -1.38870E-02, -1.39652E-02, -1.39663E-02, -1.38777E-02, -1.36866E-02, -1.33803E-02, -1.29462E-02, -1.23726E-02, -1.16496E-02, -1.07692E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.62029E-02,  1.47851E-02,  1.34592E-02,  1.22321E-02,  1.11045E-02,  1.00740E-02,  9.13571E-03,  8.28363E-03,  7.51129E-03,  6.81210E-03,  6.17964E-03,  5.60782E-03,  5.09094E-03,  4.62374E-03,  4.20142E-03,  3.81959E-03,  3.47428E-03,  3.16190E-03,  2.87919E-03,NA,NA,
