NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.57325E-03, -2.52653E-03, -2.46403E-03, -2.38372E-03, -2.28335E-03, -2.16053E-03, -2.01269E-03, -1.83711E-03, -1.63095E-03, -1.39131E-03, -1.11522E-03, -7.99774E-04, -4.42188E-04, -3.99198E-05,  4.09199E-04,  9.06796E-04,  1.45378E-03,  2.05011E-03,  2.69460E-03,  3.38466E-03,  4.11608E-03,  4.88280E-03,  5.67679E-03,  6.48798E-03,  7.30422E-03,  8.11157E-03,  8.89454E-03,  9.63665E-03,  1.03211E-02,  1.09316E-02,  1.14532E-02,  1.18733E-02,  1.21824E-02,  1.23744E-02,  1.24475E-02,  1.24038E-02,  1.22492E-02,  1.19928E-02,  1.16464E-02,  1.12233E-02,  1.07378E-02,  1.02043E-02,  9.63680E-03,  9.04807E-03,  8.44965E-03,  7.85151E-03,  7.26199E-03,  6.68782E-03,  6.13426E-03,  5.60518E-03,  5.10330E-03,  4.63030E-03,  4.18705E-03,  3.77372E-03,  3.38994E-03,  3.03497E-03,  2.70772E-03,  2.40694E-03,  2.13120E-03,  1.87902E-03,  1.64887E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.80634E-03, -2.78255E-03, -2.74459E-03, -2.69036E-03, -2.61759E-03, -2.52376E-03, -2.40613E-03, -2.26174E-03, -2.08741E-03, -1.87979E-03, -1.63535E-03, -1.35045E-03, -1.02144E-03, -6.44714E-04, -2.16850E-04,  2.65232E-04,  8.04086E-04,  1.40151E-03,  2.05829E-03,  2.77390E-03,  3.54620E-03,  4.37108E-03,  5.24221E-03,  6.15073E-03,  7.08512E-03,  8.03114E-03,  8.97199E-03,  9.88869E-03,  1.07607E-02,  1.15667E-02,  1.22858E-02,  1.28989E-02,  1.33896E-02,  1.37454E-02,  1.39587E-02,  1.40274E-02,  1.39546E-02,  1.37484E-02,  1.34211E-02,  1.29882E-02,  1.24672E-02,  1.18765E-02,  1.12342E-02,  1.05575E-02,  9.86210E-03,  9.16163E-03,  8.46760E-03,  7.78937E-03,  7.13427E-03,  6.50772E-03,  5.91354E-03,  5.35412E-03,  4.83073E-03,  4.34369E-03,  3.89259E-03,  3.47649E-03,  3.09404E-03,  2.74362E-03,  2.42342E-03,  2.13157E-03,  1.86613E-03,  1.62518E-03,  1.40686E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.02202E-03, -3.02138E-03, -3.00843E-03, -2.98117E-03, -2.93731E-03, -2.87433E-03, -2.78941E-03, -2.67947E-03, -2.54110E-03, -2.37063E-03, -2.16410E-03, -1.91730E-03, -1.62581E-03, -1.28509E-03, -8.90538E-04, -4.37658E-04,  7.77872E-05,  6.59553E-04,  1.31065E-03,  2.03301E-03,  2.82713E-03,  3.69166E-03,  4.62293E-03,  5.61454E-03,  6.65695E-03,  7.73713E-03,  8.83845E-03,  9.94073E-03,  1.10206E-02,  1.20523E-02,  1.30088E-02,  1.38629E-02,  1.45898E-02,  1.51677E-02,  1.55804E-02,  1.58181E-02,  1.58783E-02,  1.57656E-02,  1.54912E-02,  1.50719E-02,  1.45285E-02,  1.38840E-02,  1.31620E-02,  1.23857E-02,  1.15764E-02,  1.07530E-02,  9.93161E-03,  9.12545E-03,  8.34484E-03,  7.59749E-03,  6.88884E-03,  6.22234E-03,  5.59984E-03,  5.02189E-03,  4.48806E-03,  3.99714E-03,  3.54741E-03,  3.13679E-03,  2.76295E-03,  2.42346E-03,  2.11587E-03,  1.83772E-03,  1.58667E-03,  1.36043E-03,  1.15688E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.23969E-03, -3.25167E-03, -3.25156E-03, -3.23719E-03, -3.20608E-03, -3.15547E-03, -3.08223E-03, -2.98291E-03, -2.85364E-03, -2.69021E-03, -2.48799E-03, -2.24200E-03, -1.94693E-03, -1.59718E-03, -1.18699E-03, -7.10532E-04, -1.62142E-04,  4.63483E-04,  1.17095E-03,  1.96379E-03,  2.84401E-03,  3.81151E-03,  4.86356E-03,  5.99410E-03,  7.19314E-03,  8.44625E-03,  9.73416E-03,  1.10327E-02,  1.23131E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.55022E-02,  1.46157E-02,  1.36738E-02,  1.27028E-02,  1.17255E-02,  1.07609E-02,  9.82379E-03,  8.92525E-03,  8.07317E-03,  7.27258E-03,  6.52623E-03,  5.83505E-03,  5.19854E-03,  4.61520E-03,  4.08277E-03,  3.59852E-03,  3.15943E-03,  2.76235E-03,  2.40407E-03,  2.08148E-03,  1.79153E-03,  1.53136E-03,  1.29826E-03,  1.08971E-03,  9.03372E-04,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.43477E-03, -3.47101E-03, -3.49759E-03, -3.51250E-03, -3.51343E-03, -3.49775E-03, -3.46243E-03, -3.40407E-03, -3.31880E-03, -3.20229E-03, -3.04974E-03, -2.85581E-03, -2.61466E-03, -2.31995E-03, -1.96489E-03, -1.54234E-03, -1.04489E-03, -4.65094E-04,  2.04297E-04,  9.69975E-04,  1.83763E-03,  2.81140E-03,  3.89316E-03,  5.08177E-03,  6.37215E-03,  7.75443E-03,  9.21300E-03,  1.07259E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.51143E-02,  1.39457E-02,  1.27834E-02,  1.16492E-02,  1.05593E-02,  9.52547E-03,  8.55503E-03,  7.65214E-03,  6.81830E-03,  6.05301E-03,  5.35431E-03,  4.71921E-03,  4.14411E-03,  3.62500E-03,  3.15772E-03,  2.73808E-03,  2.36200E-03,  2.02558E-03,  1.72512E-03,  1.45718E-03,  1.21857E-03,  1.00635E-03,  8.17841E-04,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.60456E-03, -3.66384E-03, -3.71602E-03, -3.75931E-03, -3.79163E-03, -3.81055E-03, -3.81327E-03, -3.79655E-03, -3.75668E-03, -3.68943E-03, -3.58998E-03, -3.45291E-03, -3.27211E-03, -3.04081E-03, -2.75153E-03, -2.39615E-03, -1.96588E-03, -1.45146E-03, -8.43296E-04, -1.31703E-04,  6.92686E-04,  1.63843E-03,  2.71262E-03,  3.92003E-03,  5.26211E-03,  6.73578E-03,  8.33212E-03,  1.00350E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.53129E-02,  1.39280E-02,  1.25933E-02,  1.13261E-02,  1.01376E-02,  9.03433E-03,  8.01853E-03,  7.08976E-03,  6.24543E-03,  5.48154E-03,  4.79320E-03,  4.17503E-03,  3.62145E-03,  3.12692E-03,  2.68605E-03,  2.29374E-03,  1.94519E-03,  1.63597E-03,  1.36199E-03,  1.11955E-03,  9.05288E-04,  7.16151E-04,  5.49410E-04,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.74768E-03, -3.82835E-03, -3.90449E-03, -3.97460E-03, -4.03687E-03, -4.08916E-03, -4.12898E-03, -4.15338E-03, -4.15893E-03, -4.14167E-03, -4.09698E-03, -4.01956E-03, -3.90337E-03, -3.74152E-03, -3.52622E-03, -3.24878E-03, -2.89952E-03, -2.46787E-03, -1.94235E-03, -1.31080E-03, -5.60575E-04,  3.21077E-04,  1.34645E-03,  2.52665E-03,  3.87058E-03,  5.38367E-03,  7.06631E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.35864E-02,  1.21141E-02,  1.07504E-02,  9.49926E-03,  8.36016E-03,  7.32965E-03,  6.40225E-03,  5.57121E-03,  4.82916E-03,  4.16853E-03,  3.58183E-03,  3.06188E-03,  2.60189E-03,  2.19558E-03,  1.83719E-03,  1.52145E-03,  1.24362E-03,  9.99427E-04,  7.85054E-04,  5.97090E-04,  4.32499E-04,  2.88583E-04,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.96345E-03, -4.06147E-03, -4.15628E-03, -4.24639E-03, -4.33002E-03, -4.40504E-03, -4.46890E-03, -4.51856E-03, -4.55045E-03, -4.56036E-03, -4.54336E-03, -4.49370E-03, -4.40470E-03, -4.26868E-03, -4.07682E-03, -3.81911E-03, -3.48421E-03, -3.05950E-03, -2.53101E-03, -1.88357E-03, -1.10093E-03, -1.66190E-04,  9.37740E-04,  2.22728E-03,  3.71708E-03,  5.41844E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.29086E-02,  1.13481E-02,  9.93426E-03,  8.66235E-03,  7.52459E-03,  6.51152E-03,  5.61283E-03,  4.81803E-03,  4.11685E-03,  3.49956E-03,  2.95704E-03,  2.48094E-03,  2.06367E-03,  1.69838E-03,  1.37894E-03,  1.09991E-03,  8.56435E-04,  6.44232E-04,  4.59523E-04,  2.98976E-04,  1.59660E-04,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.06884E-03, -4.18629E-03, -4.30324E-03, -4.41854E-03, -4.53080E-03, -4.63830E-03, -4.73894E-03, -4.83018E-03, -4.90896E-03, -4.97161E-03, -5.01376E-03, -5.03019E-03, -5.01474E-03, -4.96020E-03, -4.85807E-03, -4.69851E-03, -4.47012E-03, -4.15983E-03, -3.75278E-03, -3.23220E-03, -2.57945E-03, -1.77408E-03, -7.94104E-04,  3.83542E-04,  1.78219E-03,  3.42423E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.19093E-02,  1.03193E-02,  8.90692E-03,  7.65847E-03,  6.55925E-03,  5.59441E-03,  4.74965E-03,  4.01149E-03,  3.36754E-03,  2.80655E-03,  2.31839E-03,  1.89406E-03,  1.52557E-03,  1.20588E-03,  9.28806E-04,  6.88931E-04,  4.81518E-04,  3.02427E-04,  1.48050E-04,  1.52390E-05, -9.87504E-05,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.27909E-03, -4.41529E-03, -4.55271E-03, -4.69036E-03, -4.82695E-03, -4.96088E-03, -5.09015E-03, -5.21231E-03, -5.32432E-03, -5.42250E-03, -5.50239E-03, -5.55858E-03, -5.58461E-03, -5.57275E-03, -5.51380E-03, -5.39692E-03, -5.20936E-03, -4.93623E-03, -4.56030E-03, -4.06177E-03, -3.41810E-03, -2.60401E-03, -1.59148E-03, -3.50165E-04,  1.15202E-03,  2.94770E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.24062E-02,  1.06292E-02,  9.07183E-03,  7.71236E-03,  6.52942E-03,  5.50258E-03,  4.61295E-03,  3.84334E-03,  3.17838E-03,  2.60441E-03,  2.10942E-03,  1.68290E-03,  1.31568E-03,  9.99817E-04,  7.28391E-04,  4.95431E-04,  2.95769E-04,  1.24938E-04, -2.09214E-05, -1.45145E-04, -2.50617E-04, -3.39829E-04,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -4.34072E-03, -4.49310E-03, -4.64931E-03, -4.80874E-03, -4.97056E-03, -5.13366E-03, -5.29662E-03, -5.45761E-03, -5.61433E-03, -5.76388E-03, -5.90266E-03, -6.02622E-03, -6.12908E-03, -6.20458E-03, -6.24463E-03, -6.23943E-03, -6.17724E-03, -6.04403E-03, -5.82313E-03, -5.49490E-03, -5.03632E-03, -4.42066E-03, -3.61718E-03, -2.59097E-03, -1.30295E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.08333E-02,  9.13099E-03,  7.66452E-03,  6.40413E-03,  5.32273E-03,  4.39612E-03,  3.60293E-03,  2.92449E-03,  2.34461E-03,  1.84928E-03,  1.42648E-03,  1.06585E-03,  7.58553E-04,  4.96992E-04,  2.74680E-04,  8.60652E-05, -7.36032E-05, -2.08392E-04, -3.21786E-04, -4.16770E-04, -4.95906E-04,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -4.53809E-03, -4.70962E-03, -4.88702E-03, -5.06990E-03, -5.25764E-03, -5.44938E-03, -5.64395E-03, -5.83978E-03, -6.03479E-03, -6.22633E-03, -6.41099E-03, -6.58449E-03, -6.74144E-03, -6.87512E-03, -6.97725E-03, -7.03763E-03, -7.04380E-03, -6.98061E-03, -6.82975E-03, -6.56922E-03, -6.17278E-03, -5.60929E-03, -4.84214E-03, -3.82870E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.05438E-03,  7.49065E-03,  6.16392E-03,  5.03941E-03,  4.08698E-03,  3.28070E-03,  2.59845E-03,  2.02141E-03,  1.53359E-03,  1.12145E-03,  7.73564E-04,  4.80230E-04,  2.33261E-04,  2.57274E-05, -1.48237E-04, -2.93604E-04, -4.14589E-04, -5.14772E-04, -5.97197E-04, -6.64454E-04, -7.18751E-04,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -4.55230E-03, -4.73566E-03, -4.92717E-03, -5.12683E-03, -5.33448E-03, -5.54979E-03, -5.77222E-03, -6.00090E-03, -6.23460E-03, -6.47163E-03, -6.70966E-03, -6.94565E-03, -7.17563E-03, -7.39448E-03, -7.59567E-03, -7.77093E-03, -7.90993E-03, -7.99976E-03, -8.02442E-03, -7.96423E-03, -7.79508E-03, -7.48764E-03, -7.00640E-03, -6.30868E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.80859E-03,  7.16454E-03,  5.78840E-03,  4.63686E-03,  3.67341E-03,  2.86743E-03,  2.19329E-03,  1.62959E-03,  1.15847E-03,  7.65018E-04,  4.36809E-04,  1.63455E-04, -6.37254E-05, -2.51995E-04, -4.07440E-04, -5.35167E-04, -6.39469E-04, -7.23957E-04, -7.91678E-04, -8.45202E-04, -8.86704E-04,NA,NA,
