NA,NA,NA,NA,NA,NA, -1.24467E-02, -1.28629E-02, -1.32893E-02, -1.37253E-02, -1.41701E-02, -1.46226E-02, -1.50816E-02, -1.55456E-02, -1.60128E-02, -1.64813E-02, -1.69486E-02, -1.74119E-02, -1.78678E-02, -1.83126E-02, -1.87419E-02, -1.91503E-02, -1.95322E-02, -1.98806E-02, -2.01881E-02, -2.04464E-02, -2.06464E-02, -2.07785E-02, -2.08330E-02, -2.08003E-02, -2.06712E-02, -2.04378E-02, -2.00934E-02, -1.96337E-02, -1.90564E-02, -1.83620E-02, -1.75535E-02, -1.66365E-02, -1.56187E-02, -1.45098E-02, -1.33204E-02, -1.20618E-02, -1.07453E-02, -9.38137E-03, -7.97978E-03, -6.54888E-03, -5.09568E-03, -3.62603E-03, -2.14485E-03, -6.56735E-04,  8.33421E-04,  2.31960E-03,  3.79383E-03,  5.24531E-03,  6.65979E-03,  8.01913E-03,  9.30143E-03,  1.04818E-02,  1.15337E-02,  1.24315E-02,  1.31530E-02,  1.36822E-02,  1.40120E-02,  1.41449E-02,  1.40935E-02,  1.38782E-02,  1.35252E-02,  1.30637E-02,  1.25227E-02,  1.19294E-02,  1.13074E-02,  1.06765E-02,  1.00521E-02,  9.44578E-03,  8.86557E-03,  8.31677E-03,  7.80236E-03,  7.32360E-03,  6.88043E-03,  6.47190E-03,  6.09643E-03,  5.75208E-03,  5.43666E-03,  5.14793E-03,  4.88363E-03,  4.64161E-03,  4.41978E-03,  4.21622E-03,  4.02914E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -1.24005E-02, -1.28345E-02, -1.32813E-02, -1.37404E-02, -1.42114E-02, -1.46934E-02, -1.51855E-02, -1.56866E-02, -1.61953E-02, -1.67099E-02, -1.72284E-02, -1.77485E-02, -1.82674E-02, -1.87816E-02, -1.92874E-02, -1.97801E-02, -2.02541E-02, -2.07031E-02, -2.11196E-02, -2.14950E-02, -2.18198E-02, -2.20831E-02, -2.22734E-02, -2.23788E-02, -2.23871E-02, -2.22866E-02, -2.20669E-02, -2.17195E-02, -2.12381E-02, -2.06196E-02, -1.98643E-02, -1.89759E-02, -1.79611E-02, -1.68298E-02, -1.55942E-02, -1.42675E-02, -1.28640E-02, -1.13973E-02, -9.88034E-03, -8.32419E-03, -6.73808E-03, -5.12915E-03, -3.50261E-03, -1.86219E-03, -2.10828E-04,  1.44837E-03,  3.11105E-03,  4.77033E-03,  6.41549E-03,  8.03087E-03,  9.59494E-03,  1.10801E-02,  1.24534E-02,  1.36785E-02,NA,NA,NA,NA,  1.65313E-02,  1.63801E-02,  1.60278E-02,  1.55118E-02,  1.48726E-02,  1.41493E-02,  1.33773E-02,  1.25863E-02,  1.17995E-02,  1.10344E-02,  1.03031E-02,  9.61334E-03,  8.96946E-03,  8.37315E-03,  7.82422E-03,  7.32117E-03,  6.86167E-03,  6.44287E-03,  6.06169E-03,  5.71495E-03,  5.39952E-03,  5.11243E-03,  4.85086E-03,  4.61221E-03,  4.39410E-03,  4.19436E-03,  4.01106E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -1.23153E-02, -1.27642E-02, -1.32282E-02, -1.37073E-02, -1.42011E-02, -1.47092E-02, -1.52309E-02, -1.57655E-02, -1.63118E-02, -1.68687E-02, -1.74345E-02, -1.80075E-02, -1.85854E-02, -1.91654E-02, -1.97443E-02, -2.03182E-02, -2.08824E-02, -2.14312E-02, -2.19576E-02, -2.24537E-02, -2.29097E-02, -2.33146E-02, -2.36556E-02, -2.39190E-02, -2.40896E-02, -2.41524E-02, -2.40922E-02, -2.38955E-02, -2.35508E-02, -2.30496E-02, -2.23873E-02, -2.15639E-02, -2.05838E-02, -1.94557E-02, -1.81920E-02, -1.68083E-02, -1.53218E-02, -1.37502E-02, -1.21109E-02, -1.04192E-02, -8.68851E-03, -6.92881E-03, -5.14717E-03, -3.34767E-03, -1.53201E-03,  2.99552E-04,  2.14702E-03,  4.00908E-03,  5.88133E-03,  7.75434E-03,  9.61174E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.69564E-02,  1.59956E-02,  1.49963E-02,  1.39949E-02,  1.30186E-02,  1.20861E-02,  1.12092E-02,  1.03943E-02,  9.64371E-03,  8.95705E-03,  8.33196E-03,  7.76490E-03,  7.25167E-03,  6.78781E-03,  6.36878E-03,  5.99021E-03,  5.64794E-03,  5.33813E-03,  5.05724E-03,  4.80207E-03,  4.56976E-03,  4.35773E-03,  4.16370E-03,  3.98566E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -1.26532E-02, -1.31313E-02, -1.36270E-02, -1.41400E-02, -1.46705E-02, -1.52179E-02, -1.57818E-02, -1.63615E-02, -1.69563E-02, -1.75650E-02, -1.81861E-02, -1.88181E-02, -1.94588E-02, -2.01059E-02, -2.07561E-02, -2.14058E-02, -2.20504E-02, -2.26840E-02, -2.32996E-02, -2.38884E-02, -2.44398E-02, -2.49412E-02, -2.53777E-02, -2.57324E-02, -2.59869E-02, -2.61218E-02, -2.61178E-02, -2.59568E-02, -2.56232E-02, -2.51054E-02, -2.43970E-02, -2.34971E-02, -2.24110E-02, -2.11500E-02, -1.97303E-02, -1.81720E-02, -1.64975E-02, -1.47295E-02, -1.28900E-02, -1.09983E-02, -9.06996E-03, -7.11628E-03, -5.14390E-03, -3.15508E-03, -1.14839E-03,  8.80118E-04,  2.93534E-03,  5.02107E-03,  7.13760E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.68015E-02,  1.55388E-02,  1.43329E-02,  1.32026E-02,  1.21574E-02,  1.12009E-02,  1.03320E-02,  9.54702E-03,  8.84046E-03,  8.20601E-03,  7.63709E-03,  7.12715E-03,  6.66993E-03,  6.25962E-03,  5.89087E-03,  5.55884E-03,  5.25922E-03,  4.98815E-03,  4.74223E-03,  4.51847E-03,  4.31424E-03,  4.12723E-03,  3.95546E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA, -1.25033E-02, -1.29921E-02, -1.35007E-02, -1.40294E-02, -1.45782E-02, -1.51471E-02, -1.57361E-02, -1.63447E-02, -1.69726E-02, -1.76190E-02, -1.82831E-02, -1.89636E-02, -1.96592E-02, -2.03681E-02, -2.10882E-02, -2.18167E-02, -2.25502E-02, -2.32844E-02, -2.40139E-02, -2.47314E-02, -2.54280E-02, -2.60922E-02, -2.67097E-02, -2.72633E-02, -2.77326E-02, -2.80948E-02, -2.83252E-02, -2.83986E-02, -2.82908E-02, -2.79807E-02, -2.74521E-02, -2.66955E-02, -2.57091E-02, -2.44994E-02, -2.30810E-02, -2.14752E-02, -1.97086E-02, -1.78105E-02, -1.58108E-02, -1.37376E-02, -1.16153E-02, -9.46274E-03, -7.29257E-03, -5.11068E-03, -2.91659E-03, -7.04264E-04,  1.53645E-03,  3.81785E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.72179E-02,  1.57360E-02,  1.43739E-02,  1.31366E-02,  1.20222E-02,  1.10242E-02,  1.01340E-02,  9.34183E-03,  8.63784E-03,  8.01234E-03,  7.45629E-03,  6.96138E-03,  6.52013E-03,  6.12585E-03,  5.77263E-03,  5.45528E-03,  5.16925E-03,  4.91059E-03,  4.67587E-03,  4.46211E-03,  4.26674E-03,  4.08755E-03,  3.92260E-03,NA,NA,NA,NA,NA,
NA,NA, -1.23166E-02, -1.28127E-02, -1.33307E-02, -1.38711E-02, -1.44342E-02, -1.50203E-02, -1.56298E-02, -1.62625E-02, -1.69184E-02, -1.75972E-02, -1.82985E-02, -1.90216E-02, -1.97657E-02, -2.05296E-02, -2.13119E-02, -2.21110E-02, -2.29247E-02, -2.37502E-02, -2.45838E-02, -2.54207E-02, -2.62543E-02, -2.70755E-02, -2.78724E-02, -2.86293E-02, -2.93265E-02, -2.99397E-02, -3.04404E-02, -3.07972E-02, -3.09769E-02, -3.09469E-02, -3.06781E-02, -3.01479E-02, -2.93421E-02, -2.82575E-02, -2.69020E-02, -2.52946E-02, -2.34640E-02, -2.14456E-02, -1.92785E-02, -1.70024E-02, -1.46539E-02, -1.22642E-02, -9.85644E-03, -7.44500E-03, -5.03456E-03, -2.62069E-03, -1.90812E-04,  2.27405E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.55834E-02,  1.41305E-02,  1.28431E-02,  1.17069E-02,  1.07066E-02,  9.82665E-03,  9.05262E-03,  8.37113E-03,  7.77018E-03,  7.23912E-03,  6.76858E-03,  6.35043E-03,  5.97758E-03,  5.64393E-03,  5.34423E-03,  5.07398E-03,  4.82929E-03,  4.60686E-03,  4.40385E-03,  4.21784E-03,  4.04673E-03,  3.88876E-03,NA,NA,NA,NA,
NA,NA, -1.25957E-02, -1.31194E-02, -1.36675E-02, -1.42407E-02, -1.48397E-02, -1.54649E-02, -1.61167E-02, -1.67954E-02, -1.75011E-02, -1.82338E-02, -1.89932E-02, -1.97790E-02, -2.05906E-02, -2.14273E-02, -2.22882E-02, -2.31722E-02, -2.40779E-02, -2.50034E-02, -2.59462E-02, -2.69025E-02, -2.78668E-02, -2.88310E-02, -2.97833E-02, -3.07072E-02, -3.15803E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.57429E-02, -2.34159E-02, -2.09210E-02, -1.83112E-02, -1.56351E-02, -1.29329E-02, -1.02337E-02, -7.55385E-03, -4.89625E-03, -2.25093E-03,  4.03634E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.51158E-02,  1.36438E-02,  1.23638E-02,  1.12514E-02,  1.02840E-02,  9.44169E-03,  8.70664E-03,  8.06350E-03,  7.49901E-03,  7.00181E-03,  6.56218E-03,  6.17187E-03,  5.82384E-03,  5.51213E-03,  5.23169E-03,  4.97825E-03,  4.74815E-03,  4.53834E-03,  4.34620E-03,  4.16950E-03,  4.00637E-03,NA,NA,NA,NA,
NA, -1.23440E-02, -1.28698E-02, -1.34218E-02, -1.40009E-02, -1.46081E-02, -1.52442E-02, -1.59100E-02, -1.66061E-02, -1.73330E-02, -1.80910E-02, -1.88803E-02, -1.97011E-02, -2.05532E-02, -2.14363E-02, -2.23502E-02, -2.32946E-02, -2.42690E-02, -2.52730E-02, -2.63061E-02, -2.73672E-02, -2.84545E-02, -2.95646E-02, -3.06912E-02, -3.18240E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.97411E-02, -1.66707E-02, -1.36004E-02, -1.05669E-02, -7.58906E-03, -4.66708E-03, -1.78349E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.43995E-02,  1.29750E-02,  1.17528E-02,  1.07019E-02,  9.79574E-03,  9.01174E-03,  8.33084E-03,  7.73701E-03,  7.21680E-03,  6.75892E-03,  6.35392E-03,  5.99388E-03,  5.67217E-03,  5.38323E-03,  5.12241E-03,  4.88581E-03,  4.67013E-03,  4.47261E-03,  4.29094E-03,  4.12313E-03,  3.96753E-03,NA,NA,NA,
 -1.20609E-02, -1.25853E-02, -1.31373E-02, -1.37182E-02, -1.43291E-02, -1.49713E-02, -1.56459E-02, -1.63538E-02, -1.70959E-02, -1.78731E-02, -1.86859E-02, -1.95347E-02, -2.04200E-02, -2.13419E-02, -2.23004E-02, -2.32958E-02, -2.43281E-02, -2.53979E-02, -2.65057E-02, -2.76527E-02, -2.88401E-02, -3.00687E-02, -3.13386E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.42323E-02, -1.08135E-02, -7.50560E-03, -4.30488E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.50810E-02,  1.35181E-02,  1.21939E-02,  1.10675E-02,  1.01053E-02,  9.27941E-03,  8.56707E-03,  7.94942E-03,  7.41093E-03,  6.93881E-03,  6.52250E-03,  6.15326E-03,  5.82387E-03,  5.52834E-03,  5.26170E-03,  5.01984E-03,  4.79930E-03,  4.59722E-03,  4.41119E-03,  4.23921E-03,  4.07956E-03,NA,NA,NA,
 -1.22696E-02, -1.28179E-02, -1.33964E-02, -1.40067E-02, -1.46501E-02, -1.53282E-02, -1.60423E-02, -1.67938E-02, -1.75838E-02, -1.84134E-02, -1.92834E-02, -2.01946E-02, -2.11476E-02, -2.21428E-02, -2.31805E-02, -2.42612E-02, -2.53856E-02, -2.65548E-02, -2.77708E-02, -2.90364E-02, -3.03557E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.23715E-03, -3.74824E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.39692E-02,  1.25572E-02,  1.13682E-02,  1.03612E-02,  9.50320E-03,  8.76769E-03,  8.13314E-03,  7.58215E-03,  7.10057E-03,  6.67686E-03,  6.30161E-03,  5.96712E-03,  5.66708E-03,  5.39629E-03,  5.15049E-03,  4.92613E-03,  4.72029E-03,  4.53054E-03,  4.35486E-03,  4.19153E-03,  4.03914E-03,NA,NA,
